País;Ciudad
Perú;Huaro
Perú;Juli
Perú;Junín
Perú;La Libertad
Perú;La Paz
Perú;Lima
Perú;México
Perú;Monte Carlo
Perú;Nueva York
Perú;Ocopa
Perú;Paucartambo
Perú;Puno
Perú;Puno juli
Perú;Quispicanchis
Perú;Tinta
Perú;Trujillo
Perú;Urquillo
Perú;Valle del Colca
Puerto Rico;Caguas
Puerto Rico;Ponce
Puerto Rico;San Juan
República Dominicana;Higüey
República Dominicana;Santo Domingo
Venezuela;Araure
Venezuela;Baruta
Venezuela;Calabozo
Venezuela;Caracas
Venezuela;Coro
Venezuela;Maracaibo
Venezuela;Mérida
Venezuela;Ospino
Venezuela;Quíbor
Venezuela;Tenerife
Venezuela;Tocuyo
