Id;Nombre;Fecha de muerte;Fecha de beatificación;Fecha de canonización;Mini biografía;Virtudes centrales;VC Observaciones;Fuente
13;Cayetano;1547;1629;;"Nació en Vicencia, hizo tales progresos en las ciencias y virtudes. Resplandeció en é, desde su temprana edad, un señalado amor a la pureza, a la caridad, y a la piedad con Dios y su madre Santísima, por lo que ganó mucha estimación con los príncipes y prelados y con el Papa Julio II. Pero mayor fué la honra que recibió de la soberana Reina de los cielos, la cual en recompensa de la devoción que el santo le tenía , se le apareció llena de claridad y hermosura, y le regaló poniéndole su divino niño en los brazos. En Roma determinó fundar  una religión de clérigos regulares, la cual se denominó como la de los Teatinos. Vióse el santo muy maltratado y preso con sus religiosos en un saqueo  de Roma, más nunca fueron tantas las penas que le hicieron sufrir los herejes, como las que deseaba padecer por amor a Jesucristo; el cual una vez se le apareció y le convidó a poner sus labios en la llaga del costado para que gustase la inefable suavidad de su amor divino. Antes de morir, después de recibidos los santos sacramentos, tuvo un éxtasis maravilloso en que le apareció la Virgen acompañada de ángeles quienes lo llevaron a la patria celestial.";;Pureza, caridad, piedad;"Flos Sanctorum Rivadeneira;"
14;Francisco Solano;1610;;;Español. Mantuvo intacta hasta su muerte la inocencia bautismal. En la adolescencia fue admitido en la Orden del Seráfico Padre San Francisco. Resplandeció su heroica caridad en el cuidado de los enfermos de la epidemia que azotó todas las provincias de Andalucía. Recorrió Tucumán, Córdoba y la Rioja. En esta última ciudad, el santo acudió al encuentro de los indios sin mas armas que sus palabras y hablándoles en un solo idioma, con ser los infieles de lenguas distintas, cada cual le entendía en la suya. Y no sólo les hizo deponer las armas en contra de los cristianos, sino que convirtió de ellos a unos 9000. Después de 14 años, fue destinado al Perú, en donde amenazó con la ira divina e inminentes castigos a los ciudadanos de Lima, quienes tocados por la gracia de la palabra del Santo, hicieron pública penitencia. Era tal su amor a la Santísima Virgen que a menudo, al hablar de ella en los sermones, era arrebatado en éxtasis. Varias veces, al comentar la Sagrada Pasión de Nuestro Señor, hubo de interrumpir sus palabras a causa de los sollozos y lágrimas que le impedían continuar. Resucitó varios muertos, hizo brotar fuentes de agua cristalina en medio de áridos desiertos, atravesó ríos valiéndose de su capa como barca. Murió en 1610 el día de la festividad de San Buenaventura. Después de muerto su semblante que era más bien trigueño, quedó revestido de una blancura y claridad celestial.;;Caridad Humildad;"Flos Sanctorum Rivadeneira;"
15;Gregorio Magno;604;;;Nació en Roma, fue hombre rico y prefecto de la ciudad, sin embargo tomó el hábito de pobre monje en uno de los siete monasterios que había edificado. Viajó a Constantinopla y de vuelta a Roma, azotada por la pestilencia, ordenó San Gregorio siete procesiones de rogativas, de los clérigos, de los seglares, de las monjas, de las casadas, de los viudos, de los pobres y de los niños, hasta llegar al templo de la Santa María. Entonces vió sobre el castillo de Adriano, un ángel que evainaba la espada, y por esto se llamó de allí en adelante aquel edificio el castillo de San Angelo. San Gregorio, huyó al bosque cuando lo nombraron Sumo Pontífice, sin embargo, al final fue encontrado y debió asumir el cargo. Reformó las costumbres, dió nuevo lustre al culto divino, desarraigó las herejías de España y de África, envió misioneros a Inglaterra, edificó hospitales, reformó el canto eclasiástico, que hasta hoy se llama Gregoriano. Convidaba a los pobres a comer a su mesa, Santo supremamente caritativo.;;Humildad, caridad;"Flos Sanctorum Rivadeneira;"
16;Luis Gonzaga;1591;;;Patrón de la juventud. De origen noble, nació en Castellón. Siendo ya de 8 años se crió en la Corte del Duque de Toscana e hizo voto de perpetua virginidad ante la imagen de la Anunciada, tuvo un don de castidad perfecto. Ayunaba tres días por semana,  traía a raíz de las carnes las espuelas de los caballos y se disciplinaba rigurosamente. Comulgando la fiesta de la Asunción en el colegio de la Compañia de Jesús de Madrid, oyó una voz que le decía que se hiciese religioso de la Compañia de Jesús. Entró al noviciado de San Andrés a los 18 años. Santo sumamente dado a la oración. Hubo asistido a muchos enfermos de mal contagioso, fué víctima de su ardentísima caridad, y como tuviese revelación del día de su muerte, cantó el Te Deum Laudamus, y besando tiernamente el crucifijo, dió su alma al creador a los 23 años.;;Oración;"Flos Sanctorum Rivadeneira;"
17;Ildefonso;669;;;Producto de una promesa entre sus padres y el Señor quien les cumplió el deseo de tener un hijo a cambio de hacerlo capellán. Llegado a la edad competente, le enviaron a San Isidoro para que se educara en su colegio. Después de finalizar sus estudios en Sevilla, se retiró al monasterio de los benedictinos. Vieron los monjes en Ildefonso un acabado modelo de de perfección y sabiduría , y de común acuerdo lo eligieron como su abad, después fue sentado en el Arzobispado de Toledo. Era conocido por su elocuencia y admirables escritos. Convenció en pública disputa a los herejes venidos de la Galia, y en recompensa la virgen santa Leocadia en el día de su fiesta a vista de todo el pueblo se levantó de su sepulcro y le dijo: “ Ildefonso, por ti vive la gloria de mi Reina”. Cortó después el santo con la daga del rey Recesvinto una parte del velo que cubría el rostro de la santa virgen. Murió a los 60 años;;;"Flos Sanctorum Rivadeneira;"
18;Jerónimo;419;;;"Fue enviado muy joven a Roma para aprender las ciencias humanas, allí recibió el bautismo. Recorrió las Galias y pasó por Constantinopla, palestina, en donde veneró el pesebre del Señor, donde trató con los doctores mas eruditos. De Belén pasó a Siria, donde gastó 4 años en la soledad del desierto ejercitándose en continuas meditaciones y penitencia; llegando a golpearse el pecho con una piedra, aterrorizado por el sonido de aquella trompeta que ha de llamar al juicio. Visítole Dios con enfermedades, las que sufrió con admirable paciencia. Tenía perfecto conocimiento de las sagradas escrituras. Su alma voló al cielo en tiempos del emperador Honorio.";;;"Flos Sanctorum Rivadeneira;"
19;Domingo de Guzmán;1221;;;Fundador de la Orden de los Predicadores. Español.  Aventajado en los estudios de Filosofía y metafísica, como en las divinas virtudes. Llegado a la edad de 30 años, por imitar a Cristo, comenzó su predicación. En Francia, salvó a cien mil herejes con el arma del Santo Rosario. Entre otros prodigios fué admirable el no haberse  quemado el libro que echó el Santo en una hoguera, el de los herejes, efectivamente se quemó. Fundador de la Orden de Predicadores. En Roma vió a San Francisco, y sin haberse visto nunca los dos patriarcas,  se conocieron y abrazaron. En Roma se le juntaron 100 religiosos a quienes dió hábito y escapulario blanco, por haberlo señalado la Virgen como vestido de su amada orden. A los 51 años, se le apareció Jesucristo convidándole a los gozos de su reino, murió rodeado de sus hijos ¿?.;;Caridad;"Flos Sanctorum Rivadeneira;"
20;Francisco de Borja;1572;;;Nació en Gandía, hijo del duque de Gandía y la nieta de Fernando de Aragón. A los diez años perdió a su madre, y en vez de llorar ofrecía en sufragio sangrientas disciplinas que descargaba sobre su cuerpo. Acompañó al emperador Carlos V en su expedición a Africa caracterizandonse por su prudencia y valor en la campaña. Mandóle el emperador que condujése el cadáver de la emperatriz a Granada, y al descubrirle  para hacer la entrega, le halló tan horrorosamente desfigurado, que no se reconocía en él un solo rasgo de lo que había sido, y propuso en su corazón  no servir más a señor que se le pudiese morir. Fue nombrado Virrey de Cataluña, bajo su mandato, la provincia cambió notablemente. Vivía en su palacio como religioso y consultaba todas las cosas importantes con San Ignacio de Loyola. Tan pronto como quedó viudo, renunció a sus Estados, empleos y títulos y entró a la Compañia de Jesús. Traía sus espaldas hechas una llaga por el rigor de sus disciplinas, su oración era un éxtasis continuado, deseaba ser despreciado por todos y en sus cartas firmaba, Francisco el pecador. Cuando fue elegido general de la Compañia, extendió su celo por toda Europa y el nuevo Mundo. Finalmente después de haber visitado a la Virgen de Loreto, entendiendo que se llegaba el día de su muerte, pidió perdón a todos los que le rodeaban, y después de un éxtasis maravilloso, dió tranquilamente el alma al Creador a los 62 años.;;"Oración; humildad";"Flos Sanctorum Rivadeneira;"
21;Francisco Javier;1552;;1622;Nacido en Navarra, graduado de la Universidad de Paris de maestro en Artes. Discípulo de Ignacio de Loyola. Viajó por Italia predicando y dando ejemplo. Fue designado para anunciar el Evangelio por la India e islas de la Oceanía en que residían portugueses. Cuando entre los oyentes los había de varias lenguas, cada uno oía a Javier como si le hablase en la suya natural. Lo que daba especial eficacia a su predicación eran los numerosos milagros que hacía, sanando enfermos, librando de peligros, calmando los mares y los vientos, haciendo retroceder ejércitos enteros de bárbaros, anunciando lo que estaba por venir y resucitando muertos. Predicó en el Japón y en la China. Murió en la isla Sacián llamado por el Señor.;;Humildad, Mortificación, Caridad, Celo, Paciencia, Mansedumbre y Misericordia.;"Flos Sanctorum Rivadeneira;"
22;Mateo San;70;;;Según la tradición del Nuevo Testamento, especialmente mencionado por Lucas y Marcos (2, 14), su nombre era Levi y ejercía la profesión de recaudador de impuestos en Cafarnaún. Fue elegido apóstol, con el nombre de Mateo y murió hacia el año 70. Escribió el primer Evangelio. La tradición apócrifa cuenta que predicó en Etiopía, donde hizo milagros y luchó  contra dragones. Según la misma tradición, murió martirizado por oponerse al matrimonio del rey Hirtiacus  con su propia sobrina Ifigia. Muere decapitado, o delapidado o quemado vivo.;;santo desde los inicios de la Iglesia por su condición de evangelista;Roig, G. Duchet, Biblia de Jerusalén.
23;Juan Apóstol;100;;;"Llamado el apóstol amado, acompañó a Jesús al calvario. Posible autor del cuarto evangelio y del libro del Apocalipsis. Muere posiblemente hacia el año 100, posiblemente no como mártir. Se le representa con el caldero, con el dragón de las siete cabezas, el águila o objetos de escribir.

Natural de Betsaida, Galilea. Con Pedro y Santiago fue admitido a la resurrección de la hija de Jairo, a ser testigo de la transfiguración en el monte Tabor y de la agonía de Cristo en el huerto de Getsemaní, la noche que precedió al día de la pasión; y en la última cena mereció recostarse en el pecho del Señor. Fue el único apóstol que tuvo amor y valentía para acompañar al Señor en su crucifixión y muerte, mereciendo en recompensa que Cristo al morir le dejase por hijo a su madre , y Juan cumplió desde entonces con la Virgen todos los deberes de un hijo. Resucitado el Señor, fue con San Pedro al sepulcro. Después de la ascensión de Cristo al cielo, san Juan predicó el Evangelio en Judea;  y más tarde pasó a Éfeso, donde formó una comunidad de cristianos. Luego, por desterrado por Domiciano a la isla de Patmos, en donde predicó. Aquí tuvo múltiples revelaciones del cielo y escribió el Apocalipsis. Muerto Domiciano, san Juan volvió a Éfeso, y a instancias  de los Obispos del Oriente, escribió el cuarto evangelio";;;"Arte y Fe; Flos Sanctorum Rivadeneira;"
24;Antonio de Padua;1231;;1232;"Nació en Lisboa. Bebió con la leche de su madre la devoción a la Virgen Santísima; y a la edad de 15 años tomó el hábito en el monasterio de canónigos reglares de San Agustín, luego pasó a la religión seráfica, llevado del deseo de convertir a los moros y derramar su sangre por Jesucristo. Viajó por Francia e Italia con el fin de educarse. Eran sus palabras como unas llamas de fuego que abrasaban los corazones , y como Dios las confirmaba con grandes prodigios, fueron innumerables los herejes y pecadores que convirtió en Francia e Italia. Una vez, disputando con un hereje llamado Bonibilo que negaba la presencia la presencia de Cristo en la Eucaristía, hizo que la mula del hereje, a pesar de haber estado tres días sin comer, dejase la cebada que le ponían delante, para arrodillarse delante del santísimo Sacramento; con este milagro se convirtió Bonibilo, entre otros muchos mas milagros. Murió después de 10 años de servicio apostólico.";;;"Flos Sanctorum Rivadeneira;"
26;Adán y Eva;;;;"La historia de Adán está unida a la de Eva, y se encuentra narrada en los primeros capítulos del Génesis (Gen. 2,3,4:1-2). Habiendo formado el mundo, Dios creó a Adán ""a su imagen y semejanza"", y posteriormente de una costilla, a la mujer. El texto bíblico recalca la condición que será representado en el arte: ""Estaban ambos desnudos, el hombre y su mujer, pero no se avergonzaban uno del otro"" (Gen 2:25).  Acto seguido les entrega el jardín (Edén) del cual podían tomar todo, pero les prohíbe acercarse al árbol del ""bien y del mal"".

Iconográficamente se han tomado 7 representaciones de esta historia:

1. La creación de Adán

2.Adán en el Jardín del Edén

3. La creación de Eva

4. La caída

5.Juicio y condenación

6. Expulsión del Paraíso

7. Adán y Eva después de la expulsión";;No hay virtudes asociadas;Génesis cap. 2, 3, 4.
27;Niño Jesús;;;;Los relatos del niño Jesús están asociados a fragmentos tomados del Nuevo Testamento, y a Evangelios apócrifos. Realmente, la infancia de Jesús pasa desapercibida en los textos canónicos. Sólo Lucas (2:1-20) y Mateo (1,2) hace un relato detallado del nacimiento, y mencionan eventos como la presentación, la Huida a Egipto, la adoración de los reyes y pastores, Jesús entre los doctores. En los otros evangelios hay alusiones muy pequeñas. A partir de estos fragmentos la tradición Cristiana ha llevado a cabo una representación exhaustiva de los temas relacionados con la Infancia, particularmente, la Natividad. El tema de la infancia de Jesús en sus diversas facetas, se desarrolló con especial énfasis a partir del siglo XVI, cobrando fuerza en el siglo XIV y XVII. En buena medida, esta tradición cobró vigencia con San Francisco de Asís, quien desarrolló un culto especial a la Natividad.;;Suma de todas las virtudes;"Duchet 251;"
28;Sagrada Familia - Huida a Egipto;;;;"Entre los diversos temas que tratan la Sagrada Familia, éste de la Huida a Egipto sólo es tratado por el Evangelio de Mateo (2: 13-23). En él no hay datos precisos sobre la imagen de la huida. Afirma el Evangelio que un ángel le anunció en sueños que Herodes iba a matar al Niño y que huyera a Egipto. Dice el texto ""El se levantó, tomó de noche al niño y a su madre, y se retiró a Egipto; y estuvo allí hasta la muerte de Herodes"" (2:14-15). Esta escueta descripción se amplió en los Evangelios apócrifos. De este modo, la escena se representó tradicionalmente la Virgen en andas sobre un burro con el niño en brazos, José llevando el burro, y acompañados de ángeles. La escena cobró fuerza principalmente en el Renacimiento.";;;Hall 197.
29;Josefa de Castillo;1742;;;Francisca Josepha de Castillo Guevara nació en Tunja en 1671, y murió en la misma ciudad en 1742. Hija de español y criolla, entró al convento de las Clarisas de dicha ciudad. Su narración biográfica, escrita por mandato de su confesor Francisco de Herrera S.J, contiene todas las vicisitudes propias de una vida ejemplar: nacimiento glorioso y predestinado, una infancia enfermiza y en varias ocasiones a punto de morir, una adolescencia cortejada por pretendientes, y finalmente una juventud culposa y mortificada que la llevó a tomar los hábitos a los 18 años, pese a la resistencia de su familia. Profesó a los 23 años, casi al mismo tiempo se dedicó a escribir sus “afectos espirituales” por mandato de su confesor. Una vez en el convento, ocupó diversos cargos, entre ellos, sacristana, portera, enfermera, maestra de novicias, escucha, secretaria y gradera. Tres veces fue electa abadesa: en 1716, 1729 y 1738 (según otras fuentes, fue cuatro veces abadesa: en 1715, 1718, 1729 y 1738). En 1696, la Madre Castillo entró en un período de «suspensiones, deliquios y enajenamientos», que se prolongó hasta 1710. Su vida era una sucesión de raptos místicos, seguidos de dolores corporales y de un agotamiento general, que le llevó a tener fama de santa. Murió en 1742, a la edad de 71 años, asistida por el padre Diego de Moya. En diversos momentos de su estancia en el convento escribió “Su vida” y “Afectos espirituales”, estos últimos muy influidos por la poesía mística de Juana de la Cruz. Sus manuscritos originales se conservaron en el convento de Santa Clara de Tunja, hasta 1813, cuando fueron entregados a su sobrino Antonio María del Castillo y Alarcón, quien se encargó de su publicación en Filadelfia.;Cardinales;Mortificación, humildad, las más significativas;www.lablaa.org/blaavirtual/biografías/castfran.htm
30;Juan De Herrera;1688;;;"No hay datos sobre este capellán del convento de santa Inés, que según la cartela murió en 1688, y aparentemente tuvo importantes profecías para la vida monástica del convento.

Sin embargo es importante, y curioso, anotar que hay otro Juan de Herrera que también fue capellán del convento de santa Inés, pero este murió en 1738. Este Juan de Herrera nació en 1670, fue un prolífico autor de música y se desempeñó como Maestro de capilla de la catedral y durante cuarenta años maestro de música del convento citado. Se sabe que entró como capellán, según su testamento a finales de la década de 1690. Importante este dato, porque puede tratarse de la misma persona y más si la pintura fue elaborada en el siglo XVIII. (Más datos sobre este Juan de Herrera en http://www.lablaa.org/blaavirtual/música/blaaaudio/compo/herrera/indice.htm)";;Don de profecía, según la cartela;
31;Hércules;;;;Hércules es un importante personaje de la tradición clásica, y retomado por el cristianismo. En la mitología clásica personifica el valor y la fuerza física. Sus famosos doce trabajos hacen alusión al triunfo sobre el mal en circunstancias muy difíciles. Hijo de la mortal Alcmena y Júpiter, quien a su muerte lo recompensó con la deificación al ser trasladado al Olimpo por Minerva, su protectora. Representa la fuerza moral y la fuerza como complemento a la sabiduría.;;Tema apócrifo. Sin embargo Hércules ha sido tomado en el arte cristiano como una alegoría de la fuerza moral.;Hall 186-187
