"ID";"Escenario";"Tipo_De_Relato";"Donante";"Cartelera Filacterias";"ID Imagen";"Autor";"Título";"Fecha";"Expr1009";"Tipo";"Procedencia";"Fuente de la Imagen";"Expr1013";"Lugar";"Anotaciones";"Atributos Iconograficos";"Sintesis";"Comentarios bibliográficos";"Categorías";"sub1";"sub2";"sub3";"sub4";"Fuente"
23377;;;;;10680,00;"Anónimo";"Nuestra Señora del Rosario entre Santo Domingo Guzmán y San Francisco de Asís";"XVIII";;14;"Colección Cisneros";;"Maestro de Quibor";"Venezuela, Caracas";"Maestro de Quibor";;;;;;;;;341
23378;;;;;10651,00;"Jesuino do Monte Carmelo";"Angeles de la capilla mayor";"XVIII";;;"Igreja Nossa Senhora do Carmelo";;;"Brasil, Sabará ";;;;;;;;;;339
21789;;;;;13540,00;"Anónimo";"San Pascual Bailón";"s.f.";;;;;;"México";;;;;;;;;;426
21790;;;;;13541,00;"Anónimo";"Santa Isabel de Hungría";"s.f.";;;;;;"México";;;;;;;;;;426
21791;;;;;13542,00;"Rafael de la Peña";"Desposorios de la Virgen María y San José";"s.f.";;;"Museo del Colegio de Guadalupe";;;"México, Zacatecas";;;;;"Virgen";"Vida Virgen";"Desposorios";;;426
21792;;;;;13543,00;"Anónimo";"Guadalupana";"s.f.";;;"Museo del Carmen";;;"México, México DF";;;;;;;;;;426
21793;;;;;13544,00;"Anónimo";"Guadalupana";"s.f.";;;"Museo del Carmen";;;"México, México DF";;;;;;;;;;426
21794;;;;;13545,00;"Anónimo";"El Nacimiento del Señor";"s.f.";;;"Templo del Ex convento de Santa Clara";;;"México, Atlixco";;;;;;;;;;426
21795;;;;;13546,00;"Anónimo";"El Éxtasis de Santa María Magdalena";"s.f.";;;"Convento Dominico de Jesús María";;;"México, Guadalajara";;;;;;;;;;426
21796;;;;;13547,00;"Anónimo";"San Francisco conduce a Santa Clara";"s.f.";;;"Templo del Ex convento de Santa Clara";;;"México, Atlixco";;;;;"Santos";"Santos";"Fundadores";"Francisco de Asís";;426
21797;;;;;13548,00;"Anónimo";"Santo Tomás de Aquino";"s.f.";;;"Convento Dominico de Jesús María";;;"México, Guadalajara";;;;;;;;;;426
21798;;;;;13549,00;"Anónimo";"Nuestra Señora de la Asunción";"s.f.";;;"Templo de Santa María la Redonda";;;"México, México DF";;;;;;;;;;426
21799;;;;;13550,00;"Anónimo";"San José de los Auxilios";"s.f.";;;"Museo de Arte Religioso del Ex convento de Santa Mónica";;;"México, Puebla";;;;;"Virgen";"Vida Virgen";"Sagrada Familia";"José";"Otras San José";426
21800;;;;;13551,00;"Anónimo";"Nuestra Señora de Loreto";"s.f.";;;"Museo del Colegio de Guadalupe";;;"México, Zacatecas";;;;;;;;;;426
21801;;;;;13552,00;"José de Alcíbar";"Nuestra Señora de Pasaviensis";"s.f.";;;"Museo del Colegio de Guadalupe";;;"México, Zacatecas";;;;;;;;;;426
21802;;;;;13553,00;"Anónimo";"El Tránsito de San José";"s.f.";;;"Museo de Arte Religioso del Ex convento de Santa Mónica";;;"México, Puebla";;;;;"Virgen";"Vida Virgen";"Sagrada Familia";"José";"Muerte de José";426
21803;;;;;13554,00;"Anónimo";"San José";"s.f.";;;"Museo de Arte Religioso del Ex convento de Santa Mónica";;;"México, Puebla";;;;;"Virgen";"Vida Virgen";"Sagrada Familia";"José";;426
21804;;;;;13555,00;"Anónimo";"San José de los Auxilios";"s.f.";;;"Museo de Arte Religioso del Ex convento de Santa Mónica";;;"México, Puebla";;;;;"Virgen";"Vida Virgen";"Sagrada Familia";"José";;426
21805;;;;;13556,00;"Anónimo";"Guadalupana";"s.f.";;;"Museo de la Evangelización, Ex convento Franciscano de San Miguel";;;"México, Huejotzingo";;;;;;;;;;426
21806;;;;;13557,00;"Anónimo";"Dolorosa";"s.f.";;;"Museo de la Evangelización, Ex convento Franciscano de San Miguel";;;"México, Huejotzingo";;;;;;;;;;426
21807;;;;;13558,00;"Anónimo";"Nuestra Señora del Refugio";"s.f.";;;"Museo de la Evangelización, Ex convento Franciscano de San Miguel";;;"México, Huejotzingo";;;;;;;;;;426
21808;;;;;13559,00;"Anónimo";"San Francisco de Asís sacando Ánimas del Purgatorio";"s.f.";;;"Museo de la Evangelización, Ex convento Franciscano de San Miguel";;;"México, Huejotzingo";;;;;"Santos";"Santos";"Fundadores";"Francisco de Asís";;426
21809;;;;;13560,00;"Anónimo";"San Francisco de Asís en el Carro de Fuego";"s.f.";;;"Museo de la Evangelización, Ex convento Franciscano de San Miguel";;;"México, Huejotzingo";;;;;"Santos";"Santos";"Fundadores";"Francisco de Asís";;426
21810;;;;;13561,00;"Anónimo";"San Diego de Alcalá";"s.f.";;;"Museo de la Evangelización, Ex convento Franciscano de San Miguel";;;"México, Huejotzingo";;;;;;;;;;426
21811;;;;;13562,00;"Anónimo";"El Tránsito de San Francisco de Asís";"s.f.";;;"Museo de la Evangelización, Ex convento Franciscano de San Miguel";;;"México, Huejotzingo";;;;;"Santos";"Santos";"Fundadores";"Francisco de Asís";;426
21812;;;;;13563,00;"Anónimo";"San Luis Gonzaga";"s.f.";;;"Museo de la Evangelización, Ex convento Franciscano de San Miguel";;;"México, Huejotzingo";;;;;;;;;;426
21813;;;;;13564,00;"Anónimo";"El Martirio de San Esteban";"s.f.";;;"Museo de la Evangelización, Ex convento Franciscano de San Miguel";;;"México, Huejotzingo";;;;;;;;;;426
21814;;;;;13565,00;"Anónimo";"San Cristóbal";"s.f.";;;"Museo de la Evangelización, Ex convento Franciscano de San Miguel";;;"México, Huejotzingo";;;;;;;;;;426
21909;;;;;13660,00;"Anónimo";"La Confesión";;;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;;;;;;426
21910;;;;;13661,00;"Anónimo";"Cristo yacente";;;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;;;;;;426
21911;;;;;13662,00;"Anónimo";"Jesús Nazareno";;"jesusdelamerced.wordpress.com";;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;"jesusdelamerced.wordpress.com";;;;;;426
21912;;;;;13663,00;"Anónimo";"Cristo encuentra a su Madre en la Vía Dolorosa";;;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;;;;;;426
21913;;;;;13664,00;"Anónimo";"Señor del Desmayo";;;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;;;;;;426
21914;;;;;13665,00;"Anónimo";"La Última Cena";;;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;"Cristológico";"Pasión";"Preliminares";"Última Cena";;426
21915;;;;;13666,00;"Anónimo";"San Bartolomé Apóstol";;;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;;;;;;426
21916;;;;;13667,00;"Anónimo";"San Matías Apóstol";;;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;;;;;;426
21917;;;;;13668,00;"Anónimo";"San José y el Niño Jesús";;;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;"Virgen";"Vida Virgen";"Sagrada Familia";"José";;426
21918;;;;;13669,00;"Anónimo";"La Anunciación";;;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;"Virgen";"Vida Virgen";"Anunciación";;;426
21919;;;;;13670,00;"Anónimo";"El Niño Perdido y hallado en el Templo";;;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;;;;;;426
21920;;;;;13671,00;"Anónimo";"La Adoración de los Magos";;;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;"Virgen";"Vida Virgen";"Adoración Reyes";;;426
21921;;;;;13672,00;"Anónimo";"La Huida a Egipto";;;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;"Virgen";"Vida Virgen";"Egipto";"Huída";;426
21922;;;;;13673,00;"Anónimo";"Nuestra Señora de la Merced";;;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;;;;;;426
21923;;;;;13674,00;"Anónimo";"San Judas Tadeo, Retablo de la Guadalupana";;;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;;;;;;426
21924;;;;;13675,00;"Anónimo";"Santa Catalina de Bolonia";;;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;"Santos";"Santas";"Santas";"Otras santas";;426
21925;;;;;13676,00;"Anónimo";"Santa Inés";;;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;;;;;;426
21926;;;;;13677,00;"Anónimo";"San Juan de Capistrano";;;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;;;;;;426
21927;;;;;13678,00;"Anónimo";"San Francisco Solano";;;;"Templo de San Francisco de Asís";;;"México, Chiapas";;;;;"Santos";"Santos";"Santos";"Francisco Solano";;426
21928;;;;;13679,00;"Anónimo";"Santa Bárbara Mártir";;;;"Museo Altos de Chiapas";;;"México, Chiapas";;;;;;;;;;426
21929;;;;;13680,00;"Anónimo";"Santo Domingo de Guzmán";;;;"Museo Altos de Chiapas";;;"México, Chiapas";;;;;;;;;;426
21930;;;;;13681,00;"Anónimo";"San Agustín";;;;"Museo Altos de Chiapas";;;"México, Chiapas";;;;;;;;;;426
21931;;;;;13682,00;"Anónimo";"La Inmaculada Concepción";;;;"Museo Altos de Chiapas";;;"México, Chiapas";;;;;;;;;;426
21932;;;;;13683,00;"Anónimo";"La Divina Pastora";;;;"Museo Altos de Chiapas";;;"México, Chiapas";;;;;;;;;;426
21933;;;;;13684,00;"Anónimo";"San Miguel Arcángel";;;;"Parador San Jua de Dios";;;"México, Chiapas";;;;;"Ángeles";"Ángeles";"Miguel";;;426
21934;;;;;13685,00;"Anónimo";"Alegoría del Rosario con San Bernardino de Siena";;;;"Parador San Jua de Dios";;;"México, Chiapas";;;;;;;;;;426
21935;;;;;13686,00;"Anónimo";"Ángel Custodio";;;;"Templo de Santo Domingo de Guzmán";;;"México, Chiapas";;;;;;;;;;426
21936;;;;;13687,00;"Anónimo";"San Francisco de Paula";;;;"Templo de Santo Domingo de Guzmán";;;"México, Chiapas";;;;;"Santos";"Santos";"Fundadores";"Francisco de Paula";;426
21937;;;;;13688,00;"Anónimo";"San Vicente Ferrer";;;;"Templo de Santo Domingo de Guzmán";;;"México, Chiapas";;;;;;;;;;426
21938;;;;;13689,00;"Anónimo";"Santa Rosa de Lima siguiendo a Cristo con la Cruz";;;;"Templo de Santo Domingo de Guzmán";;;"México, Chiapas";;;;;;;;;;426
21939;;;;;13690,00;"Anónimo";"Santa Catalina de Ricci";;;;"Templo de Santo Domingo de Guzmán";;;"México, Chiapas";;;;;"Santos";"Santas";"Santas";"Otras santas";;426
21940;;;;;13691,00;"Anónimo";"Cristo Rey de burlas";;;;"Templo de Santo Domingo de Guzmán";;;"México, Chiapas";;;;;;;;;;426
21941;;;;;13692,00;"Anónimo";"Cristo consolado por el Ángel en el Huerto de los Olivos";;;;"Templo de Santo Domingo de Guzmán";;;"México, Chiapas";;;;;;;;;;426
21942;;;;;13693,00;"Anónimo";"La Flagelación de Cristo";;;;"Templo de Santo Domingo de Guzmán";;;"México, Chiapas";;;;;;;;;;426
21943;;;;;13694,00;"Anónimo";"Santa Rosa con el Niño Jesús";;;;"Templo de Santo Domingo de Guzmán";;;"México, Chiapas";;;;;;;;;;426
21944;;;;;13695,00;"Anónimo";"La Flagelación de Cristo";;;;"Templo de Santo Domingo de Guzmán";;;"México, Chiapas";;;;;;;;;;426
21945;;;;;13696,00;"Anónimo";"San José adorando a Cristo Resucitado en el Limbo";;;;"Templo del Ex convento de la Enseñanza";;;"México, México DF";;;;;"Virgen";"Vida Virgen";"Sagrada Familia";"José";"Otras San José";426
21946;;;;;13697,00;"Anónimo";"El Tránsito de San José";;;;;;;"México, México DF";;;;;"Virgen";"Vida Virgen";"Sagrada Familia";"José";"Muerte de José";426
21947;;;;;13698,00;"Anónimo";"San Juan Diego";;;;"Catedral de San Marcos";;;"México, Chiapas";;;;;;;;;;426
21948;;;;;13699,00;"Anónimo";"El Alivio de la Ánimas Benditas";;;;"Catedral de San Cristóbal de las Casas";;;"México, Chiapas";;;;;;;;;;426
21949;;;;;14115,00;"Anónimo";"Tres ángeles portando los símbolos de la Pasión";"XVII";;16;"Parroquia de María Reina de los Ángeles";;;"Perú";;;;;;;;;;422
21950;;;;;14116,00;"Anónimo";"La Última Cena";"s.f.";;;"Catedral de San Cristóbal de las Casas";;;"México, Chiapas";;;;;"Cristológico";"Pasión";"Preliminares";"Última Cena";;426
21952;;;;;14117,00;"Anónimo";"La Matanza de los Santos Inocentes";"s.f.";;;"Catedral de San Cristóbal de las Casas";;;"México, Chiapas";;;;;;;;;;426
21953;;;;;14118,00;"Anónimo";"Santiago Matamoros";"s.f.";;;"Catedral de San Cristóbal de las Casas";;;"México, Chiapas";;;;;;;;;;426
21954;;;;;14119,00;"Anónimo";"El Translado del Cuerpo de San Juan Nepomuceno";"s.f.";;;"Catedral de San Cristóbal de las Casas";;;"México, Chiapas";;;;;;;;;;426
21955;;;;;14120,00;"Anónimo";"Nuestra Señora de los Dolores";"s.f.";;;"Museo de los Mártires Mexicanos";;;"México, Guadalajara";;;;;;;;;;426
21956;;;;;14121,00;"Anónimo";"Exvoto a Cristo Cautivo";"s.f.";;;"Museo de los Mártires Mexicanos";;;"México, Guadalajara";;;;;;;;;;426
21957;;;;;14122,00;"Anónimo";"Alegoría Juanina";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;;;;;;426
21958;;;;;14123,00;"Anónimo";"Alegoría Juanina";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;;;;;;426
21959;;;;;14124,00;"Anónimo";"Nuestra Señora de la Piedad";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;"Virgen";"Advocaciones";"Piedad";;;426
21960;;;;;14125,00;"Anónimo";"San Joaquín y la Virgen Niña";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;;;;;;426
21961;;;;;14126,00;"Anónimo";"La Comunión de la Virgen administrada por San Juan Evangelista";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;;;;;;426
21962;;;;;14127,00;"Anónimo";"San Antonio de Padua";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;"Santos";"Santos";"Santos";"Antonio de Padua";;426
21963;;;;;14128,00;"Anónimo";"La Soledad de Maria con San Juan Apóstol y las Santas Mujeres";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;;;;;;426
21964;;;;;14129,00;"Pablo José de Talavera";"San Juan de Dios y el enfermo inpenitente";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;;;;;;426
21965;;;;;14130,00;"Anónimo";"San Agustín";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;;;;;;426
21966;;;;;14131,00;"Anónimo";"San Gregorio Magno";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;;;;;;426
21967;;;;;14132,00;"Luis Berrueco";"San Juan de Dios pidiendo limosna a los ricos";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;;;;;;426
21968;;;;;14133,00;"Luis Berrueco";"San Juan de Dios recibiendo el Hábito del Obispo de Granada";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;;;;;;426
21969;;;;;14134,00;"Anónimo";"La Inmaculada Concepción";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;"Virgen";"Advocaciones";"Inmaculada";;;426
21970;;;;;14135,00;"Anónimo";"Santo Domingo de Guzmán";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;;;;;;426
21971;;;;;14136,00;"Luis Berrueco";"La Predicación de San Juan de Avila y la Conversión de San Juan de Dios";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;;;;;;426
21972;;;;;14137,00;"Anónimo";"La Piedad";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;"Cristológico";"Pasión";"Viacrucis";"Piedad";;426
21973;;;;;14138,00;"Luis Berrueco";"La Virgen salva a San Juan de Dios en Fuenbarría";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;;;;;;426
21974;;;;;14139,00;"Anónimo";"San José";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;"Virgen";"Vida Virgen";"Sagrada Familia";"José";;426
21975;;;;;14140,00;"Anónimo";"Santa Rosa de Lima";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;;;;;;426
21976;;;;;14141,00;"Ventura Torijano";"Santa Rita de Casia";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;;;;;;426
21977;;;;;14142,00;"Ventura Torijano";"El Tránsito de Santa Teresa de Jesús";"s.f.";;;"Hospital San Juan de Dios";;;"México, Atlixco";;;;;"Santos";"Santas";"Fundadoras";"Teresa";;426
21978;;;;;14143,00;"Anónimo";"Santa Emergencia";"s.f.";;;"Templo de la Tercera Orden Franciscana";;;"México, Atlixco";;;;;;;;;;426
21979;;;;;14144,00;"Anónimo";"Santa Ana";"s.f.";;;"Templo de la Tercera Orden Franciscana";;;"México, Atlixco";;;;;;;;;;426
21980;;;;;14145,00;"Anónimo";"Cristo de Burgos";"s.f.";;;"Templo del Ex convento de la Merced";;;"México, Atlixco";;;;;;;;;;426
21981;;;;;14146,00;"Anónimo";"San Juan de Mata";"s.f.";;;"Templo del Ex convento de la Merced";;;"México, Atlixco";;;;;;;;;;426
21982;;;;;14147,00;"Anónimo";"San Félix de Valois";"s.f.";;;"Templo del Ex convento de la Merced";;;"México, Atlixco";;;;;;;;;;426
21983;;;;;14148,00;"Anónimo";"Nuestra Señora de los Gozos";"s.f.";;;"Museo de Arte Religioso del Ex convento de Santa Mónica";;;"México, Puebla";;;;;;;;;;426
21984;;;;;14149,00;"Anónimo";"Dolorosa";"s.f.";;;"Museo de Arte Religioso del Ex convento de Santa Mónica";;;"México, Puebla";;;;;;;;;;426
21985;;;;;14150,00;"Anónimo";"El Bautismo del Señor";"s.f.";;;"Templo de Nuestra Señora de la Caridad";;;"México, Chiapas";;;;;;;;;;426
21986;;;;;14151,00;"Anónimo";"San Juan de Dios";"s.f.";;;"Colección particular";;;"México, México DF";;;;;;;;;;426
21987;;;;;14152,00;"Sebastián Salcedo";"La Flagelación de Cristo con Santa Gertrudis la Magna";"s.f.";;;"Templo del Ex convento de la Enseñanza";;;"México, México DF";;;;;;;;;;426
21988;;;;;14153,00;"Anónimo";"La Conversión de San Pablo";"s.f.";;;"Templo de Santo Domingo de Guzmán";;;"México, México DF";;;;;;;;;;426
21989;;;;;14154,00;"Anónimo";"San José";"s.f.";;;"Parroquia de San Vicente Ferrer";;;"México, Chiapas";;;;;"Virgen";"Vida Virgen";"Sagrada Familia";"José";;426
21990;;;;;14155,00;"Anónimo";"San Pedro Apóstol";"s.f.";;;"Templo de San Pedro Apóstol";;;"México, Chiapas";;;;;;;;;;426
21991;;;;;14156,00;"Anónimo";"Santo Domingo de Guzmán";"s.f.";;;"Casa Magdalena Arte";;;"México, Puebla";;;;;;;;;;426
21992;;;;;14157,00;"Anónimo";"Virgen de Guadalupe española (Patrona de Extremadura)";"XVIII";;16;"Convento de Santa Inés";;;"Colombia, Bogotá";;;"Sobre una mesa amplia con mantel que termina en encaje blanco, hay una peana grande, con tallados y altorrelieves dorados que sostiene a la Virgen morena con el Niño en su brazo izquierdo y un cetro sencillo de oro en su mano derecha. Ninguno de los dos tiene corona, sino graciosos sombreros con pluma, el de la Virgen blanco y negro el del Niño; Él mira de frente como su Madre y sostiene en su manito izquierda el mundo. Ambos visten túnica y manto de tela gruesa, roja con encajes plateados en el cuello, puños y a lo largo y ancho de sus bordes. Tiene cada uno dos moños negros en el vestido, la Virgen a cada lado de la capa a la altura de las rodillas y el Niño por delante a la altura del pecho y el otro más abajo. Debajo del sombrero de la Virgen se le ve abundante cabellera negra, con adornos largos y plateados a la altura de las orejas y una pequeña mantilla cuelga del sobrero por detrás hasta cruzar por el hombro derecho y el cuello, llegando solo la punta hasta el otro hombro. A los pies una medialuna, con el rostro de un ángel en el centro, y en los extremos termina en miniaturas de querubines casi imperceptibles. Sobre la mesa a cada extremo, ángeles bellamente vestidos, portando en unos lienzos en las manos, cada uno una corona de oro y piedras. El de la derecha viste color beige y sedas grises  y tiene la más pequeña. El de la izquierda viste manto y falda rojos con un camisón gris y esta portando la más grande. A manera de retablo en la parte superior ángeles en cada esquina levantan cortinas  de color blanco y verde.";;;;;;;432
21993;;;;;14158,00;"Anónimo";"Santa Lucía Mártir";"s.f.";;;"Iglesia de Santa Lucía";;;"México, Chiapas";;;;;;;;;;426
21994;;;;;14159,00;"Anónimo";"Santa Catalina de Alejandría";"s.f.";;;"Iglesia de Santa Lucía";;;"México, Chiapas";;;;;"Santos";"Mártires";"Mártires mujeres";"Catalina";;426
