"Id";"Escenario";"TipoRelato";"NombreDonante";"Cartela";"Simbolos";"Id Imagen";"Autor";"Titulo";"Fecha";"ComentariosBiblio";"Técnica";"ProcedenciaIm";"Fuenteimagen";"Ciudad";"Anotaciones";"Id Relato - Personaje";"Id Pasaje";"Atributos iconográficos";"Personajes excluidos";"Sintesis"
11;"Terreste";"Historiada";;1;;349;"Baltasar Vargas de Figueroa";"Adoración de los Pastores";"XVII";;"Óleo sobre tela";"Museo Santa Clara";"GUTIÉRREZ Vallejo, Jaime. Iglesia Museo Santa Clara. Catálogo de la Colección. Bogotá: Instituto Colombiano de Cultura, 1995.";"Colombia, Bogotá";"33. María Cristina Pérez";46;;;;"Imagen religiosa en formato vertical en la que se representa la adoración de los pastores. En un primer lugar, se observa el Niño Jesús reposando tranquilamente sobre una cuna siendo arropado por la Virgen María; la cual tiene un vestido rojo, un manto azul  y un velo blanco. A sus espaldas, de rodillas y de semiperfil izquierdo, San José vistiendo un traje oscuro. Estos personajes están acompañados por tres mujeres y dos hombres, quienes observan emocionados el nacimiento del Niño Jesús. Dos de las mujeres llevan canastas con sábanas blancas entre sus manos, mientras otros sujetos permanecen con las manos en el pecho en posición de plegaria. Así como  por un burro de contextura delgada, del cual sólo se pueden apreciar parte de su cara. En la parte inferior-central de la composición se destacan objetos como jarras o cantimploras. Mientras que en la parte superior-izquierda, se hallan tres angelitos  jugueteando sobre una nube."
12;;;;0;;572;"Gregorio Vásquez de Arce y Ceballos";"Adoración de los Pastores";"XVII";;"Óleo sobre tela";"Museo colonial";"PIZANO, Roberto. Fernando Restrepo. Gregorio Vásquez de Arce y Cevallos. Bogotá: editorial Siglo dieciséis, 1986";"Colombia, Bogotá";"304";;;;;
13;;;;0;;610;"Anónimo";"Adoración de los Pastores";"XVII";;"Óleo sobre cobre";"Iglesia de Egipto";"Museo de Arte colonial. Banco de la Republica. Lecciones barrocas. Pinturas sobre la vidade la virgen de la eremita de Egipto. Bogotá: Banco de la República, 1990.";"Colombia, Bogotá";"Confirmar flamenco";;;;;
14;"Urbano";"Escena única";;1;"Sol-
Aureola-";195;"Anónimo";"Adoración de los Pastores";"XVII";;"Óleo sobre tela";"Convento Santa Clara";"MATEUS CORTES, Gustavo. Tesoros de Tunja. El arte de los siglos XVI-XVII-XVIII. Bogotá: Litografía Arco, 1989.";"Colombia, Tunja";"María Cristina Pérez";46;;;;"Imagen religiosa en formato vertical en la que se representa la adoración de los pastores. En un primer lugar, se observa el Niño Jesús reposando tranquilamente sobre una cuna y siendo arropado por la Virgen María; la cual tiene un vestido rojo, un manto azul  y un velo blanco. A sus espaldas, de rodillas y de semiperfil derecho, San José vistiendo una túnica oscura. Estos tres personajes tienen sobre sus cabezas aureolas doradas. Asimismo, son acompañados por un ángel, tres pastores y dos bueyes. Los pastores están observando tranquilamente la escena, de rodillas, cabeza inclinada hacia delante y de espaldas al espectador. Entre los objetos representativos que llevan estos hombres se observa un sombrero, una correa y un monedero de tela. De otro lado, en la parte superior y en medio de un sol, dos ángeles llevando una cartela roja con letras doradas. En segundo lugar, unas casas como fondo de la representación."
15;;;;0;;840;"Baltasar Vargas de Figueroa";"Adoración de los Pastores";"XVII";;"Óleo sobre tela";"Iglesia San Ignacio";"RESTREPO. Fernando. Los Figueroa: aproximación a su época y a su pintura. Bogotá: Villegas Editores, 1986.";"Colombia, Bogotá";"23";;;;;
16;;;;0;;1584;"Antonio Acero de la Cruz";"Adoración de los Pastores";"XVII";"Hernández: Teatro";"Óleo sobre tela";"Iglesia de las Nieves";"Fotografía Jaime Borja";"Colombia, Bogotá";;;;;;"Al centro, la Virgen María con túnica roja y manto verde. Observa al niño Jesús acostado sobre un paño blanco que sostiene. A la izquierda, san Juan Bautista, de rodillas mira al niño. Lleva un cordero. Al lado un burro y un buey y detrás tres ángeles. Uno toca el arpa y otro sostiene un libro. A la derecha, san José, de rodillas, observa a la virgen y el niño. Lleva túnica ocre y un bordón en la mano derecha. Al lado un hombre con túnica corta roja. A los pies un bordón y un perro. Cerca se observan un niño con una bolsa en las manos y una mujer de blusa verde y velo blanco. Detrás un hombre levanta un sombrero, mientras otro sostiene una tea. 
Inscripción en la zona derecha: Hizose este tabernáculo por arte y dibujo de Antonio Azero siendo cura el S Don Jacinto de Solonilla y Mayordomo Juan de Pineda. Año 1657 A.M.D.G.
Marco: Moldura interior corrida. Moldura exterior: dados enmarcados. Cabezal inferior: Moldura cóncava en el centro, y escalonada. No es original. 
Nota: después de la restauración le fue eliminado el marco"
17;;;;0;;662;"Baltasar de Figueroa";"Adoración de los Pastores";"XVII";;"Óleo sobre tela";"Museo colonial";"MENDOZA Varela, Eduardo. Dos siglos de pintura colonial colombiana. Bogotá: ediciones el sol y la luna, 1966.";"Colombia, Bogotá";"9";;;;;
18;;;;1;"Huevo - resurrección
Nube - presencia de Dios
Buey y asno";1378;"Anónimo";"Adoración de los Pastores";"1635";"Buey, asno, Lucas, diversas manos, gestos, tema central la pasión y resurrección preanuncio";"Óleo sobre tela";"Museos Banco de la República";"LONDOÑO Vélez Santiago. Arte Colombiano. 3500 años de historia. Colección Banco de la República. Bogotá: Villegas editores. 2001.";"Colombia, Bogotá";"Posible procedencia del Taller de los Figueroa";46;;"Niño en pesebre, con José y María. Animales tradicionales -buey, burro- pastores alrededor y ángeles.";;"Esta composición narra la visita y adoración de los pastores al niño recién nacido. Acusa una estructura similar para este tipo de tema, aunque con algunos cambios en la forma como se disponen los argumentos. En la mitad inferior derecha de la pintura se encuentra el tema central, la Sagrada Familia, a la izquierda apiñados se encuentran 6 pastores que observan y a adoran al niño Jesús, y en la parte superior, los ángeles y un rompimiento de gloria. 
Con respecto al espacio que ocupa la Sagrada Familia, el lugar central lo ocupa el Niño recién nacido, acostado sobre un pajar, desnudo y envuelto en una sábana blanca. Duerme, pero de él emana la luz que ilumina la escena. Su cabeza se encuentra sobre el canto de la Virgen, mujer joven vestida con túnica roja y capa azul, que sostiene con sus dos manos la sábana que envuelve al niño. Se encuentra sentada y mirando a los pastores, como si presentara al niño. Sobre su cabeza hay una aureola en forma de luz. A su derecha, de pie y en posición de tres cuartos, se encuentra san José. Envuelto en una túnica color ocre, mira al niño mientras sus brazos se abren a la manera de una presentación. Al lado de la Sagrada Familia, casi imperceptibles porque se funden en la oscuridad de la escena, se aprecia la cabeza del asno y el buey, que dirigen la cabeza hacia el recién Nacido. 
Con respecto a los pastores, en primer plano, aparece una pastora vestida de camisa blanca, chaleco rojo y falda verde. Esta arrodillada, le ofrece un huevo al niño que ha tomado de un canasto que tiene a su derecha, donde hay huevos y una hogaza de pan. Detrás hay dos personajes. El primero parece ser un hombre con un tocado blanco en la cabeza, viste de verde, tiene las manos entrelazadas y mira la escena. A su lado un hombre mayor de perfil, cuerpo completo a punto de hincarse. Viste sayal verde humilde que denota toscas costuras, tiene las manos juntas y también observa la escena. Detrás, se nota aun hombre viejo, de medio cuerpo, vestido de camisón rojo, con ademán de quitarse el sombrero y la mirada humilde hacia arriba. A su lado izquierdo la cabeza de perfil de una mujer de blanco, sostiene un canasto sobre su cabeza y dirige su mirada a la escena. A su lado, un hombre viejo, toscamente vestido, de perfil, quien también observa la escena.
Entre esta parte de la pintura y la parte superior hay un vacío oscuro que da la sensación de una habitación sin definir, pero a la izquierda sobresale un paisaje al fondo, que sólo muestra un conjunto de nubes.
En la parte superior, se enmarcan cinco ángeles visibles montados sobre nubes, como representados a la manera de los trampantojos. Estos cinco ángeles bordean un centro de donde emana un rompimiento de gloria, que notoriamente en la parte inferior brota la luz que se atenúa por la presencia de nueve cabezas aladas (querubines). En el borde de donde brota la luz hay un ángel en posición hacia abajo del cual sólo se nota su cabeza y brazos que sostienen una cartela que dice ""Gloria in exelcis deo et in Terra pax omnia (…)"". A su derecha, un ángel vestido de rojo, la pierna montada sobre una nube y la otra colgando; detrás un ángel de medio cuerpo que observa la escena.Al otro lado del rompimiento, don ángeles que parecen conversar entre si. El primero semidesnudo con túnica roja sentado sobre nubes, dirige su mano izquierda a la escena, el otro, vestido pareciera señalar hacia fuera, el paisaje nuboso, con la mano izquierda.
La pintura no es uniforme en su factura, los rostros parecen que han sido elaborados al menos por tres manos distintas."
19;;;;0;;903;"Gregorio Vásquez de Arce y Ceballos";"Adoración de los Pastores";"XVII";;"Óleo sobre tela";;"PIZANO, Roberto. Fernando Restrepo. Gregorio Vásquez de Arce y Cevallos. Bogotá: editorial Siglo dieciséis, 1986";"Colombia";"Posiblemente destruido 420 peq";;;;;
20;;;;0;"Flor de lirio - castidad";891;"Anónimo";"José y el Niño";"XVIII";"Padre, representación joven, niño";"Óleo sobre tela";"Museos Banco de la República";"RESTREPO. Fernando. Los Figueroa: aproximación a su época y a su pintura. Bogotá: Villegas Editores, 1986.";"Colombia, Bogotá";;47;;"Hombre joven, de barba con el niño en brazos. Entre sus atributos, vara florida, lirio y/o azucena, que se ven en esta imagen.";;"Imagen que representa a san José con el Niño Jesús. San José, a la derecha del niño, medio cuerpo en posición de tres cuartos, se encuentra erguido, los ojos cerrados en actitud de compasión. Se trata de un hombre medianamente joven, tiene barba y abundante cabello que como otra imagen de la colección, contrasta con otras representaciones anteriores que lo presentan más calvo. No tiene aureola, viste túnica en tonos verde y manto rojo. Sostiene sobre su mano izquierda su atributo, la azucena. El niño, cargado sobre los dos brazos, se encuentra prácticamente sentado sobre los brazos de su padre, mira al espectador, y reposa sobre una manta blanca que se interpone entre su padre y él. Está desnudo, su brazo izquierdo se acerca al cuello de san José como si lo asiera."
21;;;;0;;1484;"Baltasar de Figueroa";"Adoración de los Pastores";"XVII";;"Óleo sobre tela";"Museo colonial";"Colección Museo Colonial";"Colombia, Bogotá";"MAC 43";;;;;
22;"Terreste";"Escena única";;0;"Estrellas- 
Aureola-";219;"Baltasar Vargas de Figueroa";"Adoración de los Pastores";"XVII";;"Óleo sobre tela";"Iglesia de las Nieves";"MATEUS CORTES, Gustavo. Tesoros de Tunja. El arte de los siglos XVI-XVII-XVIII. Bogotá: Litografía Arco, 1989.";"Colombia, Tunja";"María Cristina Pérez";46;;;;"Imagen religiosa en formato vertical en la que se representa la adoración de los pastores. En un primer lugar, se observa el Niño Jesús desnudo reposando tranquilamente sobre una cuna y siendo arropado por la Virgen María; la cual tiene un vestido rojo, un manto azul y un velo blanco, casi transparente. A sus espaldas, de pie y de semiperfil derecho, San José vistiendo una túnica oscura y llevando un báculo. Éste se encuentra acompañado de dos ángeles pequeños, los cuales observan al Niño. Es importante destacar, que la Virgen tiene sobre su cabeza una aureola dorada. Dos pastores están observando tranquilamente la escena, de rodillas, cabeza inclinada hacia delante. Entre los objetos representativos que llevan estos hombres se observa un sombrero, un báculo y un monedero de tela. Asimismo, hay un ángel de rodillas con sus manos juntas a la altura del pecho en posición de oración, cerca de uno de los pastores. De otro lado, y como fondo de la composición, se encuentran algunas casas, una montaña, un pastor y una estrella en el horizonte."
23;;;;0;;490;"Gregorio Vásquez de Arce y Ceballos";"Adoración de los Reyes";"XVII";;"Óleo sobre tela";"Capilla Sagrario";"PIZANO, Roberto. Fernando Restrepo. Gregorio Vásquez de Arce y Cevallos. Bogotá: editorial Siglo dieciséis, 1986";"Colombia, Bogotá";"16";;;;;
24;"Paisaje";"Historiada";;0;"Cofres-
Incensarios-
Aureola";354;"Anónimo";"Adoración de los Reyes";"XVII";;"Óleo sobre tela";"Museo Santa Clara";"GUTIÉRREZ Vallejo, Jaime. Iglesia Museo Santa Clara. Catálogo de la Colección. Bogotá: Instituto Colombiano de Cultura, 1995.";"Colombia, Bogotá";"María Cristina Pérez";116;;"En el periodo paleocristiano, especialmente en las catacumbas, María está sentada en un extremo de la composición y sobre sus rodillas tiene al Niño al que los tres Reyes llevan sus presentes en sencillas bandejas. A partir del siglo V, aparecen camellos en la escolta de los magos y se sitúa a María en el centro de la obra, entre dos grupos de magos que la adoran. En el ámbito bizantino, el ángel que muestra la estrella se introduce a menudo en la composición y, el primero de los magos dobla la rodilla. En el occidente medieval, los Magos llevan habitualmente los atributos regios, corona y manto, asimismo presentan las ofrendas en recipientes de metales preciosos: cálices y custodias. A partir del siglo XIV, la representación se enriquece con motivos pintorescos, con diversas escenas de caza o incluso de combate; en este caso, la adoración es asociada con el anuncio de los pastores. Mientras que para el siglo XVI,  el sentido del simbolismo religioso se estanca en beneficio de lo anecdótico.";;"Representación religiosa en formato vertical en la que se muestra la adoración de los reyes. En un primer lugar, se observa a la virgen María con el Niño Jesús en sus brazos siendo presentado a “cuatro” reyes. La Virgen está de pie, semiperfil izquierdo, cabeza inclinada hacia delante, mirada dirigida hacia abajo. Lleva puesto un vestido rosado, un manto azul y un velo café claro. El Niño se encuentra semidesnudo, de cuerpo entero y de semiperfil izquierdo. A su espalda, de pie y de medio cuerpo, San José observado apaciblemente la escena. Uno de lo reyes se encuentra de rodillas, cuerpo entero, semiperfil izquierdo, mirada dirigida sobre el Niño; mientras que tres de los reyes se hallan de pie, cuerpo entero, cabeza inclinada sobre su hombro izquierdo. Estos personajes tienen vestidos largos, túnicas oscuras y relicarios o copas en sus manos. Igualmente, detrás de éstos hay dos soldados con armaduras, gorras y lanzas, así como el cielo oscuro. En la parte superior-izquierda se destacan además dos ángeles, quienes observan el desarrollo de la escena. Mientras que en la parte inferior-derecha se encuentra un perro."
25;;;;0;;1558;"Anónimo";"Adoración de los Reyes";"XVIII";;"Óleo sobre cobre";"Palacio Arzobispal";"GÓMEZ Hurtado Álvaro y Gil-Tovar, Francisco. Arte virreinal en Bogotá. Bogotá: Villegas editores, 1987";"Colombia, Popayán";"Confirmar quiteño";;;;;
26;"Terreste";"Escena única";;0;"Copas (3)-
Estrella-";220;"Baltasar Vargas de Figueroa";"Adoración de los Reyes";"XVII";;"Óleo sobre tela";"Iglesia de las Nieves";"MATEUS CORTES, Gustavo. Tesoros de Tunja. El arte de los siglos XVI-XVII-XVIII. Bogotá: Litografía Arco, 1989.";"Colombia, Tunja";"María Cristina Pérez";116;;"En el periodo paleocristiano, especialmente en las catacumbas, María está sentada en un extremo de la composición y sobre sus rodillas tiene al Niño al que los tres Reyes llevan sus presentes en sencillas bandejas. A partir del siglo V, aparecen camellos en la escolta de los magos y se sitúa a María en el centro de la obra, entre dos grupos de magos que la adoran. En el ámbito bizantino, el ángel que muestra la estrella se introduce a menudo en la composición y, el primero de los magos dobla la rodilla. En el occidente medieval, los Magos llevan habitualmente los atributos regios, corona y manto, asimismo presentan las ofrendas en recipientes de metales preciosos: cálices y custodias. A partir del siglo XIV, la representación se enriquece con motivos pintorescos, con diversas escenas de caza o incluso de combate; en este caso, la adoración es asociada con el anuncio de los pastores. Mientras que para el siglo XVI,  el sentido del simbolismo religioso se estanca en beneficio de lo anecdótico.";;"Representación religiosa en formato vertical en la que se muestra la adoración de los reyes. En un primer lugar, se observa a la virgen María con el Niño Jesús en sus brazos siendo presentado a tres reyes. La Virgen está de pie, semiperfil izquierdo, cabeza inclinada hacia delante, mirada dirigida hacia abajo. Lleva puesto un vestido rojo, un manto azul y un velo blanco. El Niño se encuentra semidesnudo, de cuerpo entero y de semiperfil izquierdo. A su espalda, de pie y de medio cuerpo, San José observado apaciblemente la escena. Dos de los reyes se encuentran de rodillas, cuerpo entero, semiperfil izquierdo, mirada dirigida sobre el Niño; mientras que un tercer rey se halla de pie, cuerpo entero, cabeza inclinada sobre su hombro izquierdo. Estos personajes tienen vestidos largos, túnicas oscuras y cofres o copas en sus manos. Igualmente, detrás de éstos están dos soldados con armaduras, cascos y lanzas, así como el cielo oscuro y una estrella en el horizonte."
27;;;;0;;815;"Baltasar de Figueroa";"Adoración de los Reyes";"XVII";;"Óleo sobre tela";"Iglesia de Monguí";"RESTREPO. Fernando. Los Figueroa: aproximación a su época y a su pintura. Bogotá: Villegas Editores, 1986.";"Colombia, Monguí";"10";;;;;
28;;;;0;;661;"Baltasar Vargas de Figueroa";"Adoración de los Reyes";"XVII";;"Óleo sobre tela";"Museo colonial";"MENDOZA Varela, Eduardo. Dos siglos de pintura colonial colombiana. Bogotá: ediciones el sol y la luna, 1966.";"Colombia, Bogotá";"35";;;;;
29;;;;0;;639;"Anónimo";"Adoración de los Reyes";"XVII";;"Óleo sobre cobre";"Iglesia de Egipto";"Museo de Arte colonial. Banco de la Republica. Lecciones barrocas. Pinturas sobre la vidade la virgen de la eremita de Egipto. Bogotá: Banco de la República, 1990.";"Colombia, Bogotá";"Confirmar flamenco";;;;;
30;"Celeste";"Escena única";"Hombre de élite";1;"Custodia-
Hostia";240;"Anónimo";"Adoración del Santísimo Sacramento";"1775";;"Óleo sobre tela";"Iglesia Santo Domingo";"MATEUS CORTES, Gustavo. Tesoros de Tunja. El arte de los siglos XVI-XVII-XVIII. Bogotá: Litografía Arco, 1989.";"Colombia, Tunja";"María Cristina Pérez";;;;;"Imagen religiosa en formato vertical. En la obra, en un primer lugar y en la parte superior, se observa una custodia dorada con una hostia en su interior, la cual se haya sobre una nube blanca, rodeada de querubines y con dos ángeles de rodillas. En la parte inferior, un hombre (donante) de medio cuerpo, semiperfil izquierdo, mirada dirigida hacia arriba. Tiene el cabello blanco, los ojos negros, las mejillas rosadas y los labios rojos. Viste un traje azul oscuro con franjas doradas. Tiene sus manos en el pecho en posición de oración."
31;"Terreste";"Escena única";;0;"Azucenas-
Palma-";372;"Anónimo ";"Agatón";"XVII";;"Óleo sobre tela";"Museo Santa Clara";"GUTIÉRREZ Vallejo, Jaime. Iglesia Museo Santa Clara. Catálogo de la Colección. Bogotá: Instituto Colombiano de Cultura, 1995.";"Colombia, Bogotá";"María Cristina Pérez";139;;;;"Obra religiosa de San Agatón. El santo se encuentra de pie, cuerpo entero, semiperfil izquierdo, mirada dirigida hacia arriba. Posee el cabello largo, los ojos negros, la nariz aguileña y la frente amplia. Entre sus manos lleva un anillo, una palma y una canasta con azucenas. La escena se desarrolla en un espacio cerrado, en donde se pueden detallar algunas cortinas blancas."
32;;;;0;;935;"Anónimo";"Águeda";"XVII";"p";"Óleo sobre tela";"Colección Órden Agustina";"VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.";"Colombia";;;;;;
33;;;;0;;1762;"Anónimo";"Águeda Bárbara de San José";"1823";;"Óleo sobre tela";"Convento de Santa Inés";"JARAMILLO de Zuleta, Pilar. En olor de santidad: aspectos del convento colonial 1680-1830. Santa Fé de Bogotá: Iglesia Museo de Santa Clara,1992.";"Colombia, Bogotá";;;;;;
34;;;;0;;1980;"Gregorio Vásquez de Arce y Ceballos";"Águeda mártir";"XVII";;"Óleo sobre madera";"Iglesia San Ignacio";"Inventario Iglesia de San Ignacio: Jaime Borja";"Colombia, Bogotá";"Feliciana";;;;;
35;;;;0;;1941;"Anónimo";"Agustín";"XVII";;"Óleo sobre tela";"Iglesia San Ignacio";"Inventario Iglesia de San Ignacio: Jaime Borja";"Colombia, Bogotá";;;;;;
36;;;;0;;1611;"Anónimo";"Ambrosio";"XVIII";;"Óleo sobre tela";"Banco Popular";"FAJARDO de Rueda, martha, Alvarez White,  Maria cecilia, Gonzalez de Cala Marina, Baron Julio Cesar. Tesoros artísticos del convento de las carmelitas descalzas de Santafe de Bogotá: Universidad Nacional, Convenio Andres Bello, 2005.";"Colombia, Bogotá";;;;;;
37;;;;0;;1942;"Anónimo";"Agustín";"XVII";;"Óleo sobre tela";"Iglesia San Ignacio";"Inventario Iglesia de San Ignacio: Jaime Borja";"Colombia, Bogotá";;;;;;
38;;;;0;;921;"Anónimo";"Agustín";"XVII";;"Óleo sobre tela";"Colección Órden Agustina";"VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.";"Colombia";;;;;;
39;;;;0;;625;"Baltasar Vargas de Figueroa";"Agustín";"XVII";;"Óleo sobre tela";"Colección particular";"RESTREPO. Fernando. Los Figueroa: aproximación a su época y a su pintura. Bogotá: Villegas Editores, 1986.";"Colombia, Bogotá";"100";;;;;
40;;;;0;;916;"Anónimo";"Agustín";"XVIII";;"Óleo sobre tela";"Colección Órden Agustina";"VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.";"Colombia";;;;;;
41;;;;0;;917;"Anónimo";"Agustín";"XVII";;"Óleo sobre tela";"Colección Órden Agustina";"VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.";"Colombia";;;;;;
42;;;;0;;1826;"Anónimo";"Agustín";"XVII";;"Óleo sobre tela";"Museo de Arte Religioso";"Fotografía Escuela de Restauración Universidad Externado";"Colombia, Duitama";;;;;;
43;;;;0;;919;"Anónimo";"Agustín";"XVIII";;"Óleo sobre madera";"Colección Órden Agustina";"VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.";"Colombia";;;;;;
44;;;;0;;920;"Anónimo";"Agustín";"XVIII";;"Óleo sobre madera";"Colección Órden Agustina";"VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.";"Colombia";;;;;;
45;;;;0;;759;"Gregorio Vásquez de Arce y Ceballos";"Agustín";"XVII";;"Óleo sobre madera";"Museo colonial";"Instituto Colombiano de Cultura y Museo de Arte Colonial. Gregorio Vasquez de Arce y Ceballos. Coleccion de obras. Bogotá: MAC, 1996.";"Colombia, Bogotá";;;;;;
46;;;;0;;522;"Gregorio Vásquez de Arce y Ceballos";"Agustín";"XVII";;"Óleo sobre tela";"Colección particular";"PIZANO, Roberto. Fernando Restrepo. Gregorio Vásquez de Arce y Cevallos. Bogotá: editorial Siglo dieciséis, 1986";"Colombia, Bogotá";"153";;;;;
47;;;;0;;961;"Anónimo";"Agustín";"XVII";;"Óleo sobre madera";"Colección Órden Agustina";"VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.";"Colombia";;;;;;
48;;;;0;;1660;"Gregorio Vásquez de Arce y Ceballos";"Agustín";"XVII";;"Óleo sobre tela";"Palacio Arzobispal";"VALLIN, Rodolfo, Laura Vargas. Iglesia de San Juan de Dios. Bogotá: Arquidiócesis de Bogotá, 2004.";"Colombia, Bogotá";;;;;;
49;;;;0;;412;"Anónimo";"Agustín";"XVIII";;"Óleo sobre tela";"Museo de Arte Religioso";"GÓMEZ Hurtado Álvaro y Gil-Tovar, Francisco. Arte virreinal en Bogotá. Bogotá: Villegas editores, 1987";"Colombia, Popayán";"Confirmar quiteño";;;;;
50;;;;0;;1685;"Anónimo";"Agustín ante emperador Honorio";"XVIII";;"Óleo sobre tela";"Colección Órden Agustina Recoletos";"AA.VV. Huellas de la Recoleccion. Agustinos recoletos IV Centenario. Bogotá: Panamerica, 2005.";"Colombia, Ecce Homo";;;;;;
