Id;Escenario;TipoRelato;NombreDonante;Cartela;Simbolos;Id Imagen;Autor;Titulo;Fecha;ComentariosBiblio;Técnica;ProcedenciaIm;Fuenteimagen;Ciudad;Anotaciones;Id Relato - Personaje;Id Pasaje;Atributos iconográficos;Personajes excluidos;Sintesis
13;;;;FALSE;;610;Anónimo;Adoración de los Pastores;XVII;;Óleo sobre cobre;Iglesia de Egipto;Museo de Arte colonial. Banco de la Republica. Lecciones barrocas. Pinturas sobre la vidade la virgen de la eremita de Egipto. Bogotá: Banco de la República, 1990.;Colombia, Bogotá;Confirmar flamenco;;;;;
14;Urbano;Escena única;;TRUE;"Sol-
Aureola-";195;Anónimo;Adoración de los Pastores;XVII;;Óleo sobre tela;Convento Santa Clara;MATEUS CORTES, Gustavo. Tesoros de Tunja. El arte de los siglos XVI-XVII-XVIII. Bogotá: Litografía Arco, 1989.;Colombia, Tunja;María Cristina Pérez;46;;;;Imagen religiosa en formato vertical en la que se representa la adoración de los pastores. En un primer lugar, se observa el Niño Jesús reposando tranquilamente sobre una cuna y siendo arropado por la Virgen María, la cual tiene un vestido rojo, un manto 
15;;;;FALSE;;840;Baltasar Vargas de Figueroa;Adoración de los Pastores;XVII;;Óleo sobre tela;Iglesia San Ignacio;RESTREPO. Fernando. Los Figueroa: aproximación a su época y a su pintura. Bogotá: Villegas Editores, 1986.;Colombia, Bogotá;23;;;;;
16;;;;FALSE;;1584;Antonio Acero de la Cruz;Adoración de los Pastores;XVII;Hernández: Teatro;Óleo sobre tela;Iglesia de las Nieves;Fotografía Jaime Borja;Colombia, Bogotá;;;;;;Al centro, la Virgen María con túnica roja y manto verde. Observa al niño Jesús acostado sobre un paño blanco que sostiene. A la izquierda, san Juan Bautista, de rodillas mira al niño. Lleva un cordero. Al lado un burro y un buey y detrás tres ángeles. Un
17;;;;FALSE;;662;Baltasar de Figueroa;Adoración de los Pastores;XVII;;Óleo sobre tela;Museo colonial;MENDOZA Varela, Eduardo. Dos siglos de pintura colonial colombiana. Bogotá: ediciones el sol y la luna, 1966.;Colombia, Bogotá;9;;;;;
18;;;;TRUE;"Huevo - resurrección
Nube - presencia de Dios
Buey y asno";1378;Anónimo;Adoración de los Pastores;1635;Buey, asno, Lucas, diversas manos, gestos, tema central la pasión y resurrección preanuncio;Óleo sobre tela;Museos Banco de la República;LONDOÑO Vélez Santiago. Arte Colombiano. 3500 años de historia. Colección Banco de la República. Bogotá: Villegas editores. 2001.;Colombia, Bogotá;Posible procedencia del Taller de los Figueroa;46;;Niño en pesebre, con José y María. Animales tradicionales -buey, burro- pastores alrededor y ángeles.;;Esta composición narra la visita y adoración de los pastores al niño recién nacido. Acusa una estructura similar para este tipo de tema, aunque con algunos cambios en la forma como se disponen los argumentos. En la mitad inferior derecha de la pintura se 
19;;;;FALSE;;903;Gregorio Vásquez de Arce y Ceballos;Adoración de los Pastores;XVII;;Óleo sobre tela;;PIZANO, Roberto. Fernando Restrepo. Gregorio Vásquez de Arce y Cevallos. Bogotá: editorial Siglo dieciséis, 1986;Colombia;Posiblemente destruido 420 peq;;;;;
20;;;;FALSE;Flor de lirio - castidad;891;Anónimo;José y el Niño;XVIII;Padre, representación joven, niño;Óleo sobre tela;Museos Banco de la República;RESTREPO. Fernando. Los Figueroa: aproximación a su época y a su pintura. Bogotá: Villegas Editores, 1986.;Colombia, Bogotá;;47;;Hombre joven, de barba con el niño en brazos. Entre sus atributos, vara florida, lirio y/o azucena, que se ven en esta imagen.;;Imagen que representa a san José con el Niño Jesús. San José, a la derecha del niño, medio cuerpo en posición de tres cuartos, se encuentra erguido, los ojos cerrados en actitud de compasión. Se trata de un hombre medianamente joven, tiene barba y abundan
21;;;;FALSE;;1484;Baltasar de Figueroa;Adoración de los Pastores;XVII;;Óleo sobre tela;Museo colonial;Colección Museo Colonial;Colombia, Bogotá;MAC 43;;;;;
22;Terreste;Escena única;;FALSE;"Estrellas- 
Aureola-";219;Baltasar Vargas de Figueroa;Adoración de los Pastores;XVII;;Óleo sobre tela;Iglesia de las Nieves;MATEUS CORTES, Gustavo. Tesoros de Tunja. El arte de los siglos XVI-XVII-XVIII. Bogotá: Litografía Arco, 1989.;Colombia, Tunja;María Cristina Pérez;46;;;;Imagen religiosa en formato vertical en la que se representa la adoración de los pastores. En un primer lugar, se observa el Niño Jesús desnudo reposando tranquilamente sobre una cuna y siendo arropado por la Virgen María, la cual tiene un vestido rojo, u
23;;;;FALSE;;490;Gregorio Vásquez de Arce y Ceballos;Adoración de los Reyes;XVII;;Óleo sobre tela;Capilla Sagrario;PIZANO, Roberto. Fernando Restrepo. Gregorio Vásquez de Arce y Cevallos. Bogotá: editorial Siglo dieciséis, 1986;Colombia, Bogotá;16;;;;;
24;Paisaje;Historiada;;FALSE;"Cofres-
Incensarios-
Aureola";354;Anónimo;Adoración de los Reyes;XVII;;Óleo sobre tela;Museo Santa Clara;GUTIÉRREZ Vallejo, Jaime. Iglesia Museo Santa Clara. Catálogo de la Colección. Bogotá: Instituto Colombiano de Cultura, 1995.;Colombia, Bogotá;María Cristina Pérez;116;;En el periodo paleocristiano, especialmente en las catacumbas, María está sentada en un extremo de la composición y sobre sus rodillas tiene al Niño al que los tres Reyes llevan sus presentes en sencillas bandejas. A partir del siglo V, aparecen camellos ;;Representación religiosa en formato vertical en la que se muestra la adoración de los reyes. En un primer lugar, se observa a la virgen María con el Niño Jesús en sus brazos siendo presentado a “cuatro” reyes. La Virgen está de pie, semiperfil izquierdo, 
25;;;;FALSE;;1558;Anónimo;Adoración de los Reyes;XVIII;;Óleo sobre cobre;Palacio Arzobispal;GÓMEZ Hurtado Álvaro y Gil-Tovar, Francisco. Arte virreinal en Bogotá. Bogotá: Villegas editores, 1987;Colombia, Popayán;Confirmar quiteño;;;;;
26;Terreste;Escena única;;FALSE;"Copas (3)-
Estrella-";220;Baltasar Vargas de Figueroa;Adoración de los Reyes;XVII;;Óleo sobre tela;Iglesia de las Nieves;MATEUS CORTES, Gustavo. Tesoros de Tunja. El arte de los siglos XVI-XVII-XVIII. Bogotá: Litografía Arco, 1989.;Colombia, Tunja;María Cristina Pérez;116;;En el periodo paleocristiano, especialmente en las catacumbas, María está sentada en un extremo de la composición y sobre sus rodillas tiene al Niño al que los tres Reyes llevan sus presentes en sencillas bandejas. A partir del siglo V, aparecen camellos ;;Representación religiosa en formato vertical en la que se muestra la adoración de los reyes. En un primer lugar, se observa a la virgen María con el Niño Jesús en sus brazos siendo presentado a tres reyes. La Virgen está de pie, semiperfil izquierdo, cabe
27;;;;FALSE;;815;Baltasar de Figueroa;Adoración de los Reyes;XVII;;Óleo sobre tela;Iglesia de Monguí;RESTREPO. Fernando. Los Figueroa: aproximación a su época y a su pintura. Bogotá: Villegas Editores, 1986.;Colombia, Monguí;10;;;;;
28;;;;FALSE;;661;Baltasar Vargas de Figueroa;Adoración de los Reyes;XVII;;Óleo sobre tela;Museo colonial;MENDOZA Varela, Eduardo. Dos siglos de pintura colonial colombiana. Bogotá: ediciones el sol y la luna, 1966.;Colombia, Bogotá;35;;;;;
29;;;;FALSE;;639;Anónimo;Adoración de los Reyes;XVII;;Óleo sobre cobre;Iglesia de Egipto;Museo de Arte colonial. Banco de la Republica. Lecciones barrocas. Pinturas sobre la vidade la virgen de la eremita de Egipto. Bogotá: Banco de la República, 1990.;Colombia, Bogotá;Confirmar flamenco;;;;;
30;Celeste;Escena única;Hombre de élite;TRUE;"Custodia-
Hostia";240;Anónimo;Adoración del Santísimo Sacramento;1775;;Óleo sobre tela;Iglesia Santo Domingo;MATEUS CORTES, Gustavo. Tesoros de Tunja. El arte de los siglos XVI-XVII-XVIII. Bogotá: Litografía Arco, 1989.;Colombia, Tunja;María Cristina Pérez;;;;;Imagen religiosa en formato vertical. En la obra, en un primer lugar y en la parte superior, se observa una custodia dorada con una hostia en su interior, la cual se haya sobre una nube blanca, rodeada de querubines y con dos ángeles de rodillas. En la pa
31;Terreste;Escena única;;FALSE;"Azucenas-
Palma-";372;Anónimo ;Agatón;XVII;;Óleo sobre tela;Museo Santa Clara;GUTIÉRREZ Vallejo, Jaime. Iglesia Museo Santa Clara. Catálogo de la Colección. Bogotá: Instituto Colombiano de Cultura, 1995.;Colombia, Bogotá;María Cristina Pérez;139;;;;Obra religiosa de San Agatón. El santo se encuentra de pie, cuerpo entero, semiperfil izquierdo, mirada dirigida hacia arriba. Posee el cabello largo, los ojos negros, la nariz aguileña y la frente amplia. Entre sus manos lleva un anillo, una palma y una 
32;;;;FALSE;;935;Anónimo;Águeda;XVII;p;Óleo sobre tela;Colección Órden Agustina;VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.;Colombia;;;;;;
33;;;;FALSE;;1762;Anónimo;Águeda Bárbara de San José;1823;;Óleo sobre tela;Convento de Santa Inés;JARAMILLO de Zuleta, Pilar. En olor de santidad: aspectos del convento colonial 1680-1830. Santa Fé de Bogotá: Iglesia Museo de Santa Clara,1992.;Colombia, Bogotá;;;;;;
34;;;;FALSE;;1980;Gregorio Vásquez de Arce y Ceballos;Águeda mártir;XVII;;Óleo sobre madera;Iglesia San Ignacio;Inventario Iglesia de San Ignacio: Jaime Borja;Colombia, Bogotá;Feliciana;;;;;
35;;;;FALSE;;1941;Anónimo;Agustín;XVII;;Óleo sobre tela;Iglesia San Ignacio;Inventario Iglesia de San Ignacio: Jaime Borja;Colombia, Bogotá;;;;;;
36;;;;FALSE;;1611;Anónimo;Ambrosio;XVIII;;Óleo sobre tela;Banco Popular;FAJARDO de Rueda, martha, Alvarez White,  Maria cecilia, Gonzalez de Cala Marina, Baron Julio Cesar. Tesoros artísticos del convento de las carmelitas descalzas de Santafe de Bogotá: Universidad Nacional, Convenio Andres Bello, 2005.;Colombia, Bogotá;;;;;;
37;;;;FALSE;;1942;Anónimo;Agustín;XVII;;Óleo sobre tela;Iglesia San Ignacio;Inventario Iglesia de San Ignacio: Jaime Borja;Colombia, Bogotá;;;;;;
38;;;;FALSE;;921;Anónimo;Agustín;XVII;;Óleo sobre tela;Colección Órden Agustina;VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.;Colombia;;;;;;
39;;;;FALSE;;625;Baltasar Vargas de Figueroa;Agustín;XVII;;Óleo sobre tela;Colección particular;RESTREPO. Fernando. Los Figueroa: aproximación a su época y a su pintura. Bogotá: Villegas Editores, 1986.;Colombia, Bogotá;100;;;;;
40;;;;FALSE;;916;Anónimo;Agustín;XVIII;;Óleo sobre tela;Colección Órden Agustina;VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.;Colombia;;;;;;
41;;;;FALSE;;917;Anónimo;Agustín;XVII;;Óleo sobre tela;Colección Órden Agustina;VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.;Colombia;;;;;;
42;;;;FALSE;;1826;Anónimo;Agustín;XVII;;Óleo sobre tela;Museo de Arte Religioso;Fotografía Escuela de Restauración Universidad Externado;Colombia, Duitama;;;;;;
43;;;;FALSE;;919;Anónimo;Agustín;XVIII;;Óleo sobre madera;Colección Órden Agustina;VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.;Colombia;;;;;;
44;;;;FALSE;;920;Anónimo;Agustín;XVIII;;Óleo sobre madera;Colección Órden Agustina;VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.;Colombia;;;;;;
45;;;;FALSE;;759;Gregorio Vásquez de Arce y Ceballos;Agustín;XVII;;Óleo sobre madera;Museo colonial;Instituto Colombiano de Cultura y Museo de Arte Colonial. Gregorio Vasquez de Arce y Ceballos. Coleccion de obras. Bogotá: MAC, 1996.;Colombia, Bogotá;;;;;;
46;;;;FALSE;;522;Gregorio Vásquez de Arce y Ceballos;Agustín;XVII;;Óleo sobre tela;Colección particular;PIZANO, Roberto. Fernando Restrepo. Gregorio Vásquez de Arce y Cevallos. Bogotá: editorial Siglo dieciséis, 1986;Colombia, Bogotá;153;;;;;
47;;;;FALSE;;961;Anónimo;Agustín;XVII;;Óleo sobre madera;Colección Órden Agustina;VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.;Colombia;;;;;;
48;;;;FALSE;;1660;Gregorio Vásquez de Arce y Ceballos;Agustín;XVII;;Óleo sobre tela;Palacio Arzobispal;VALLIN, Rodolfo, Laura Vargas. Iglesia de San Juan de Dios. Bogotá: Arquidiócesis de Bogotá, 2004.;Colombia, Bogotá;;;;;;
49;;;;FALSE;;412;Anónimo;Agustín;XVIII;;Óleo sobre tela;Museo de Arte Religioso;GÓMEZ Hurtado Álvaro y Gil-Tovar, Francisco. Arte virreinal en Bogotá. Bogotá: Villegas editores, 1987;Colombia, Popayán;Confirmar quiteño;;;;;
50;;;;FALSE;;1685;Anónimo;Agustín ante emperador Honorio;XVIII;;Óleo sobre tela;Colección Órden Agustina Recoletos;AA.VV. Huellas de la Recoleccion. Agustinos recoletos IV Centenario. Bogotá: Panamerica, 2005.;Colombia, Ecce Homo;;;;;;
51;Sin definir;Escena única;;FALSE;"Cruz-
Báculo-
Libro-
Virrete-
Flores- 
Escudos (2)-
Paloma-";373;Anónimo ;Agustín aplastando la herejía;XVII;;Óleo sobre tela;Museo Santa Clara;GUTIÉRREZ Vallejo, Jaime. Iglesia Museo Santa Clara. Catálogo de la Colección. Bogotá: Instituto Colombiano de Cultura, 1995.;Colombia, Bogotá;María Cristina Pérez;111;;En sus representaciones más antiguas, entre los siglos V y III, Agustín aparece desprovisto de cualquier atributo específico y nimbo. Posteriormente es representado con el atavío episcopal, con mitra, cruz y diferentes atributos. Varias órdenes regulares ;;Imagen religiosa en formato vertical, en el que se representa a San Agustín aplastando la herejía. El santo está de pie, cuerpo entero, semiperfil derecho, mirada dirigida hacia arriba. Posee el cabello corto, la barba gris, los labios rojos y las mejilla
52;Onírico;Historiada;;TRUE;"Azucenas-
Pájaro en un plato-
Estrellas-
Paloma-
Triángulo equilatero-
Crucifijo-
Mitra-
Báculo-
Capa-
Lazo negro-";196;Pedro Ruiz;Agustín con San Nicolás de Tolentino y Santo Tomás de Aquino;1665;;Óleo sobre tela;Casa de Juan Vargas;MATEUS CORTES, Gustavo. Tesoros de Tunja. El arte de los siglos XVI-XVII-XVIII. Bogotá: Litografía Arco, 1989.;Colombia, Tunja;Tolentino y Tomás Aquino.  María Cristina Pérez;111;;En sus representaciones más antiguas, entre los siglos V y III, Agustín aparece desprovisto de cualquier atributo específico y nimbo. Posteriormente es representado con el atavío episcopal, con mitra, cruz y diferentes atributos. Varias órdenes regulares ;;Imagen religiosa en la que se observa a San Agustín en compañía de San Nicolás Tolentino y Santo Tomás de Aquino. En primer plano y en la parte central, San Agustín de pie sobre un cojín rojo, con una sotana negra y un manto dorado con distintas imágenes 
53;;;;FALSE;;1683;Anónimo;Agustín contemplativo;XVIII;;Óleo sobre tela;Colección Órden Agustina Recoletos;AA.VV. Huellas de la Recoleccion. Agustinos recoletos IV Centenario. Bogotá: Panamerica, 2005.;Colombia, Ecce Homo;;;;;;
54;;;;FALSE;;1682;Anónimo;Agustín convence a fortunato;XVIII;;Óleo sobre tela;Colección Órden Agustina Recoletos;AA.VV. Huellas de la Recoleccion. Agustinos recoletos IV Centenario. Bogotá: Panamerica, 2005.;Colombia, Ecce Homo;;;;;;
55;;;;FALSE;;872;Anónimo;Agustín Conversión de san ;XVII;;Óleo sobre tela;Colección Órden Agustina;VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.;Colombia;;111;;En sus representaciones más antiguas, entre los siglos V y III, Agustín aparece desprovisto de cualquier atributo específico y nimbo. Posteriormente es representado con el atavío episcopal, con mitra, cruz y diferentes atributos. Varias órdenes regulares ;;
56;;;;FALSE;;1688;Anónimo;Agustín convierte un maniqueo;XVIII;;Óleo sobre tela;Colección Órden Agustina Recoletos;AA.VV. Huellas de la Recoleccion. Agustinos recoletos IV Centenario. Bogotá: Panamerica, 2005.;Colombia, Ecce Homo;;;;;;
57;;;;FALSE;;755;Gregorio Vásquez de Arce y Ceballos;Agustín de Hipona;1710;;Óleo sobre madera;Museo colonial;Instituto Colombiano de Cultura y Museo de Arte Colonial. Gregorio Vasquez de Arce y Ceballos. Coleccion de obras. Bogotá: MAC, 1996.;Colombia, Bogotá;288;111;;En sus representaciones más antiguas, entre los siglos V y III, Agustín aparece desprovisto de cualquier atributo específico y nimbo. Posteriormente es representado con el atavío episcopal, con mitra, cruz y diferentes atributos. Varias órdenes regulares ;;
58;;;;FALSE;;978;Anónimo;Agustín de Hipona;XVII;;Óleo sobre tela;Colección Órden Agustina;VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.;Colombia;;;;;;
59;Urbano;Escena única;;TRUE;"Escudo-
Bacúlo-
Birrete-
Cruz-";281;Anónimo;Agustín de la Coruña;;;Óleo sobre tela;;SD;Colombia;Ficha Nueva. María Cristina Pérez. Mirar Cartela;;;;;Retrato de San Agustín de la Coruña. El santo, como centro de la composición, está de cuerpo entero, de pie, semiperfil izquierdo, mirada dirigida al espectador. Posee el cabello corto, arrugas en su rostro, ojos negros, frente amplia y labios rosados. Vi
60;;;;FALSE;;853;Anónimo;Agustín entre madre e hijo;XVIII;;Óleo sobre tela;Colección Órden Agustina;VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.;Colombia;;111;;En sus representaciones más antiguas, entre los siglos V y III, Agustín aparece desprovisto de cualquier atributo específico y nimbo. Posteriormente es representado con el atavío episcopal, con mitra, cruz y diferentes atributos. Varias órdenes regulares ;;
61;;;;FALSE;;1129;Anónimo;Agustín Escena de la vida de san;;;Pintura mural;Convento San Agustín;VALLIN, Rodolfo. Imágenes bajo cal y pañete. El sello editorial. Museo de arte moderno. Fiducafe, 2000.;Colombia, Tunja;;;;;;
62;;;;FALSE;;854;Anónimo;Agustín filosofo;XVII;;Óleo sobre tela;Colección Órden Agustina;VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.;Colombia;;;;;;
63;;;;FALSE;;1681;Anónimo;Agustín lava pies a cristo peregrino;XVIII;;Óleo sobre tela;Colección Órden Agustina Recoletos;AA.VV. Huellas de la Recoleccion. Agustinos recoletos IV Centenario. Bogotá: Panamerica, 2005.;Colombia, Ecce Homo;;;;;;
64;;;;FALSE;;918;Anónimo;Agustín llora la muerte de Mónica;XVII;;Óleo sobre tela;Colección Órden Agustina;VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.;Colombia;;;;;;
65;;;;FALSE;;1690;Anónimo;Agustín muestra su amor a Cristo;XVIII;;Óleo sobre tela;Colección Órden Agustina Recoletos;AA.VV. Huellas de la Recoleccion. Agustinos recoletos IV Centenario. Bogotá: Panamerica, 2005.;Colombia, Ecce Homo;;;;;;
66;Onírico;Escena única;;TRUE;"Capa-
Aureola- 
Lazo negro-
Mitra-
Báculo-
Libro-
Cruz-";198;Anónimo;Agustín Orando;XVII;;Óleo sobre tela;Convento Santa Clara;MATEUS CORTES, Gustavo. Tesoros de Tunja. El arte de los siglos XVI-XVII-XVIII. Bogotá: Litografía Arco, 1989.;Colombia, Tunja;María Cristina Pérez;111;;En sus representaciones más antiguas, entre los siglos V y III, Agustín aparece desprovisto de cualquier atributo específico y nimbo. Posteriormente es representado con el atavío episcopal, con mitra, cruz y diferentes atributos. Varias órdenes regulares ;;Composición religiosa en formato vertical, en la que se representa a San Agustín. En primer plano y en la parte central, San Agustín de pie sobre un cojín rojo, con una sotana negra y un manto dorado con distintas imágenes plasmadas. El santo tiene sus ma
67;Onírico;Escena única;;TRUE;"Mitra-
Cruz-
Crucifijo-
Capa-
Lazo negro-";197;Anónimo;Agustín Orante;XVII;;Óleo sobre tela;Iglesia Santa Clara la Real;MATEUS CORTES, Gustavo. Tesoros de Tunja. El arte de los siglos XVI-XVII-XVIII. Bogotá: Litografía Arco, 1989.;Colombia, Tunja;María Cristina Pérez;111;;En sus representaciones más antiguas, entre los siglos V y III, Agustín aparece desprovisto de cualquier atributo específico y nimbo. Posteriormente es representado con el atavío episcopal, con mitra, cruz y diferentes atributos. Varias órdenes regulares ;;Representación religiosa en formato vertical de San Agustín. El santo se encuentra de rodillas sobre un cojín rojo, cuerpo entero, semiperfil izquierdo, mirada dirigida hacia arriba. Tiene una túnica negra, un manto rojo con estampados dorados, una cruz e
68;;;;FALSE;;1674;Anónimo;Agustín parte a Roma;XVIII;;Óleo sobre tela;Colección Órden Agustina Recoletos;AA.VV. Huellas de la Recoleccion. Agustinos recoletos IV Centenario. Bogotá: Panamerica, 2005.;Colombia, Ecce Homo;;;;;;
69;;;;FALSE;;856;Anónimo;Agustín recibe la coraza;XVII;;Óleo sobre tela;Colección Órden Agustina;VALLÍN, Rodolfo. María Victoria Galves. Taller de Restauración de San Agustín. Arte y Fe: Colección artística agustina. Bogotá: Provincia de Nuestra Señora de la Gracia, 1995.;Colombia;;;;;;
70;;;;FALSE;;1855;Anónimo;Agustín San;XVII;;Óleo sobre tela;;Fotografía Escuela de Restauración Universidad Externado;Colombia;Confirmar autor;;;;;
71;;;;FALSE;;777;Anónimo;Agustín san;XVII;;Óleo sobre tela;Iglesia San Juan Dios;VALLIN, Rodolfo, Laura Vargas. Iglesia de San Juan de Dios. Bogotá: Arquidiócesis de Bogotá, 2004.;Colombia, Bogotá;;111;;En sus representaciones más antiguas, entre los siglos V y III, Agustín aparece desprovisto de cualquier atributo específico y nimbo. Posteriormente es representado con el atavío episcopal, con mitra, cruz y diferentes atributos. Varias órdenes regulares ;;
72;;;;FALSE;;1680;Anónimo;Agustín sana a Inocencio;XVIII;;Óleo sobre tela;Colección Órden Agustina Recoletos;AA.VV. Huellas de la Recoleccion. Agustinos recoletos IV Centenario. Bogotá: Panamerica, 2005.;Colombia, Ecce Homo;;;;;;
73;;;;FALSE;;1677;Anónimo;Agustín toma habito;XVIII;;Óleo sobre tela;Colección Órden Agustina Recoletos;AA.VV. Huellas de la Recoleccion. Agustinos recoletos IV Centenario. Bogotá: Panamerica, 2005.;Colombia, Ecce Homo;;;;;;
