author;activity;bio
Alexander Robertson;;1772 - 1841. Pintor escocés que vivió la mayor parte de su vida en Nueva York. Se especializó en miniaturas, retratos y paisajes. Fue uno de los fundadores de la Academia de Pintura de Columbia junto a su hermano Archibald Robertson . Exhibió en la Academia de Bellas Artes en Nueva York y se convirtió en su director en 1816 y trabajó como curador de la colección entre 1820 y 1835. Viajó a lo largo de los ríos Mohawk y Hudson con el objetivo de capturar pueblos y paisajes que le permitieron concecibir un nuevo estilo de representar el paisaje.
Alfonso Álvarez de Urrutia;;Finales del siglo XVII y principios del XVIII. Fue un pintor guatemalteco, quien, realizó en 1730 varios cuadros para la iglesia de la Merced en la ciudad de Santiago de los Caballeros de Guatemala.
Alfonso de Zarate;1680;Alfonso Sarat, también conocido como Antonio Alfonso de Zárate (C.A. 1630-1640-¿). Alfonso de Zárate es originario de la Ciudad de México, hijo legítimo de Don Diego de Zárate y de Doña Josepha Cuenca. Debió de haber nacido entre 1630 y 1640. Acerca de la infancia, juventud, formación y trabajo pictórico hasta el momento no se tiene ninguna información a excepción de los pocos documentos existentes y los óleos ya mencionados. Sabemos que fue un maestro examinado y veedor convocado por Francisco Florencia junto con un grupo de pintores en año de 1666 para hacer la primera inspección de la venerada imagen de la Virgen de Guadalupe del Tepeyac. 
Allport;;S.D.
Alonso Cano;;(Granada, 1601-1667). Artista español polifacético, que practicó la pintura, la escultura y la arquitectura. En 1616 inició su aprendizaje con el artista y teórico Francisco Pacheco, y pronto entabló una amistad duradera con su condiscípulo Diego Velázquez. Al alcanzar Alonso la madurez consolidó su puesto en el arte sevillano integrándose mediante su matrimonio con María de Figueroa en 1626, el mismo año en el que obtuvo el grado de maestro pintor. Durante las décadas de 1620 y 1630 participó en numerosas empresas artísticas, pero en los documentos suele aparecer más como escultor o retablero que como pintor. En 1638 el conde-duque de Olivares le invitó a trasladarse a Madrid como pintor y ayudante de cámara. Entre tanto Cano había contraído segundas nupcias en 1631, nuevamente con la hija de un colega, María Magdalena de Uceda. Cuando llegó a Madrid era ya un maestro reconocido y profesionalmente acreditado en el ambiente artístico de Sevilla. En Madrid su estilo se alejó rápidamente del naturalismo intenso que caracterizaba por entonces a la pintura sevillana. En 1652 el artista decidió volver a Granada, como pintor de la catedral.
Alonso de Arandia;;S.D.
Alonso de Ponte;;Nacido en Caracas y activo entre los años 1749 y 1780.
Alonso del Arco;;1635 - 1704. Pintor barroco español que perteneció a la escuela madrileña de finales del XVII. Trabajó como retratista y realizó las series de generales de la Orden de San Juan de Dios y de la Merced Calzada. Su fuerte principal era la pintura religiosa, por lo cual realizó numerosas pintoras para la Capilla de la Novena y la Iglesia de San Sebastián, destruídas en 1936. Su única muestra de actividad en la pintura mural reside en la ermita de Nuestra Señora de la Oliva en Toledo, mientras que algunos de sus óleos se pueden encontrar en el Museo del Prado, el Museo de Bellas Artes de Asturias y en el Museo Lázaro Galdiano.
Alonso Franco;; (1581-1603). Pintor natural de Illescas, Toledo, que fue enviado en 1580 en una embajada a China, que hacía escala en la Nueva España, y que finalmente no llegó a tierras orientales. Con él llevaba presentes, y entre ellos, cuatro lienzos pintados por Alonso Sánchez Coello. El hecho de que fuera elegido para dicha embajada y de que llevara como presentes retratos, realizados por el retratista oficial de la corte, hace pensar que se trataba de alguien muy próximo a ésta y a Sánchez Coello. En base a esto, Guillermo Tovar de Teresa (1992) llegó a afirmar, que quizá se formó como retratista en el taller del pintor y que es posible, incluso, que formara a Baltazar de Echave Orio, antes de regresar a España en 1588. Fuente: Rodríguez Moya, Inmaculada. (sf). Los retratos de los Monarcas Españoles en la Nueva España. Siglos XVI-XIX.
Alonso López de Herrera;;Nació en la ciudad de México, fue bautizado el 24 de febrero de 1579, hijo de Juan López de Herrera y de Magdalena López. Alonso López de Herrera ejerció su arte en la ciudad de México y Puebla, aunque don Manuel Toussaint opina que quizás exista obra suya en Morelia y Oaxaca. En 1610 ingresó en la orden de Santo Domingo. No se sabe la fecha exacta de su fallecimiento pero debió ser cerca de 1654. Su obra se caracteriza por los tonos cálidos y la perfección en el dibujo. Entre sus obras encontramos: el Retrato del arzobispo fray García Guerra, su primer obra, fechada en 1609, y que se encuentra en el Museo Nacional, La santa faz (1610-1620, Escuela de Artes Plásticas), El divino rostro (1643, catedral de México), Santo Tomás de Aquino (1610-1620, col. Romero de Terreros). Fuente: Arte Colonial. Catálogo de Artistas Coloniales.
Alonso O’Crowley;;Fue un pintor español que visitaba de forma periódica la Nueva España. Entre sus obras se destaca la pintura de catas coloniales, un género producido por los artistas de la época que daban cuenta de la imagen de la sociedad que se estaba construyendo.
Alonso Sánchez Coello;;1531 - 1588. Fue un pintor renacentista español que se desempeñó como pintor de cámara de Felipe II. Vivió en Portugal desde que tenía diez años, de manera que su formación como artista comenzó en la ciudad de Lisboa bajo la protección del rey Juan III. En 1555 se convirtió en el retratista de la familia real de España. Cabe resaltar que su obra se vio influenciada por el estilo de Tiziano y de Velásquez, por lo cual sus retratos se componen de figuras sencillas pero llenas de detalles.
Alonso Vázquez;1590 - 1608;"1565-1608. Pintor sevillano, después de haber exornado con excelentes pinturas claustros e iglesias de su ciudad natal, se trasladó a México a principios del siglo XVII y falleció aquí en 1608. Según José de Ibarra, pintor del siglo XVIII, Alonso Vázquez ""introdujo muy buena doctrina"" en la pintura colonial. De sus obras, ejecutadas durante los pocos años que vivió en México, se sabe que pintó los cuadros del altar mayor de la antigua Universidad, ofrecidos por el virrey Marqués de Montesclaros, y el Martirio de Santa Margarita, que había en el Palacio de los Virreyes. Fuente: Romero de Terreros, Manuel. (1965). El pintor Alonso López de Herrera. En Revista Anales del Instituto de Investigaciones Estéticas, vol. IX, No. 34. Disponible en http://www.analesiie.unam.mx/index.php/analesiie/article/view/800/787"
Alonso Vera de la Cruz;1654 - 1674;Fraile agustino residente en el convento quiteño en los años en que se llevaba a cabo la decoración pictórica del claustro con los lienzos de la vida de San Agustín. El religioso agustino había sido vinculado al obrador de Miguel de Santiago en la época de la realización de las pinturas de San Agustín, por hallarse firmado un cuadro suyo que representaba al arcángel Uriel. Su actividad artística se podría encuadrar en el tercer cuarto del siglo XVII, al menos entre 1654 y 1674. Pero además de su actividad como pintor, su propia condición de agustino le llevó a intervenir en otras labores, firmando en algunos documentos notariales relacionados con negocios y convenios establecidos entre su cenobio y particulares quiteños, como se ha citado anteriormente. Fuente: Justo Estebaranz, Ángel. (2010). El obrador de Miguel de Santiago en sus primeros años: 1656-1675. En Revista Complutense de Historia de América, vol. 36, 163-184.
Alvan Fisher;;1792 - 1863. Nacido en Needham, Massachusetts, pionero en el arte del paisaje y las escenas de género. En 1825 viajó a Europa para realizar el Grand Tour, lo que lo convirtió en el paisajista americano más importante en hacer ese viaje. Después de un año en Europa, regresó a Boston y abrió un estudio de arte en el que trabajó hasta 1840, año en el que volvió a Dedham.
Ambrose Duval;;Ca. 1760-70. Pintor francés que se desempeñó como pintor de miniaturas en Nueva Orleans entre los años 1803 y 1835. Entre sus piezas más importantes se encuentra el retrato del primer gobernador de Louisiana, William C.C. Claiborne, el cual se exhibe actualmente en la colección histórica de Nueva Orleans. Además de ser un artista, Duval también era un naturalista y poseía una gran colección de pájaros que solía eexhibir en su estudio.
Ambrosio del Pino;;S.D.
Ammi Phillips;;"Ammi Phillips painted for more than fifty years, producing perhaps as many as two thousand portraits in so many disparate styles that his works were once thought to be by several different artists. Currently about five hundred works can be attributed to him, most sharing the characteristics of plain backgrounds, strongly contrasting light and dark elements, and awkwardly articulated figures. Born in Colebrook, Connecticut, in 1788, Phillips traveled often through western Connecticut and Massachusetts and through New York state. Advertisements in the Berkshire Reporter indicate that he was offering his services as a professional artist in Pittsfield, Massachusetts, as early as July 1809. His earliest identified works, for example his full-length portraits of Charles Rollin and Pluma Amelia Barstow, painted in Great Barrington, Massachusetts, in 1811, may have been influenced by Connecticut limners active in the late eighteenth century, particularly J. Brown (active 1806-1808) and Reuben Moulthrop (1763-1814). By 1813 the artist and his wife were settled in Troy, New York, shortly thereafter moving to Rhinebeck. The portraits of this period (1812-1819), all of which were executed in towns along the New York-Massachusetts border, were once given to a hand called ""The Border Limner."" They are distinguished by a light, almost pastel palette, three-quarter or occasionally full-length figures, faces with dark-lined eyes, and a primitive attempt at conveying volume. In the next decade Phillips' paintings show greater realism, deeper coloring, and increased sophistication. He evidences a new interest in costume that may derive from contact with the academic Albany artist Ezra Ames (1768-1836), who lavished attention on the shawls and lace in his women's portraits. During the early 1830s Phillips was located in Amenia, New York, and painted in nearby Clermont, Rhinebeck, Germantown, Pine Plains, and Northeast. In 1836 he left for Kent, Connecticut, the town which gave its name to another distinctive period (1829-1838) of Phillips' career. The work of the so-called ""Kent Limner"" was first isolated when a group of ancestral portraits were brought together for a 1924 summer fair in that town. Among them were eight which shared markedly similar characteristics. After 1840, Phillips' portraits contain less costume detail. These later paintings were apparently executed rapidly and with great assurance. The last of Phillips' work, those of the 1860s, inevitably show the influence of photography. When the newly widowed Phillips was married to his second wife in 1830, the record listed his occupation as ""portrait painter."" Unlike many untrained portraitists who had to resort to other means to supplement their income, Phillips seems to have pursued a single vocation. Although he and his family never settled in one town for any great length of time, he was far from a struggling itinerant. He generally painted several members of the same family and through these connections seems to have had a steady flow of work. He was known to the academically trained painter John Vanderlyn, who commented to his nephew on the profitable and socially advantageous aspects of Phillips' craft. A century after his death in 1865 in Curtissville, outside of Stockbridge, Massachusetts, Phillips was given his first one-man exhibition, followed by a major comprehensive show three years later. Today he is recognized as the most prolific and one of the most important naive portraitists in nineteenth-century America"
Andrés de la Concha;1575-1612;Pintor español activo en la Nueva España. Nació en Sevilla, hijo de Francisco de Concha e Isabel Garnica, quienes además de Andrés tuvieron a Pedro, Francisco y Leonor y vivían en la calle de Placentines, en Sevilla. Partió con rumbo a América en 1568. Se casó con Mariana Núñez de Godoy, de este matrimonio nació Pedro de Concha. En México se casó con María de San Martín de quién nació Francisco y Andrés de Concha. De los varios retablos que pintó, sólo se conserva los de Yanhuitlán y Tamazulapan, que lo acreditan como uno de los mejores pintores del México virreinal. Fuente: Arte Colonial. Catálogo de Artistas Coloniales.
Andrés de Liébana;;S.D.
Andrés Islas;1753 - 1773;"De este pintor activo en la segunda mitad del siglo XVIII, sólo lo conocemos a través de su obra. Era principalmente retratista, de los que destacan dos retratos del obispo Palafox en la bodega de la capilla de Guadalupe, en la Catedral de México; un retrato de don José Escandón en la capilla de Guadalupe del Seminario de Querétaro; retratos de Carlos III, el Virrey Bucarelli y el Primer Conde de Regla, en la Dirección del Monte de Piedad. FUENTE: Arte Colonial. Catálogo de Artistas Coloniales. P. 75"
Andrés José López;;Siglo XVIII, México. Estilo Barroco. Tiene su productividad artística alrededor de los años 1770 y 1812. Entre sus obras destacadas se encuentran varios lienzos de la Virgen de Guadelupe, las escenas del Viacrucis y el cuadro con las tres etaas del martirio de San Juan de Nepomuceno en el templo del Encino en Aguascalientes. Formó parte del primer grupo de artistas novohispanos escogidos por Géronimo Antonio Gil para trabajar como correctores de dibujo en 1783 en la Escuela Provisinal de Dibujo. Del mismo modo, se desempeñó como profesor de pintura en la Academia de San Carlos hasta 1789.
Andrés Lagarto;;Realizó el escudo de monja más antiguo que se conserva en México, en el que aparece la Virgen Madre escoltada por San José, San Francisco, San Gertrudis y una dama que no se identifica. La difusión de la imagen de Santa Gertrudis se llevó a cabo en los siglos XVII y XVIII, por lo cual esto permite situar el periodo de actividad del pintor durante esta época.
Andrés López;1763-1811;"Andrés fue hijo de Carlos Clemente López, pintor asociado con la academia de los hermanos Nicolás y Juan Rodríguez Juárez. Nacido en México, Andres estudió en la Academia de San Carlos. Su obra conocida data desde 1763 y hasta 1811. Su estilo es parecido al de Jose de Alzíbar quien participó en la edición ""Maravilla Americana"" escrita por Miguel Cabrera para demostrar la naturaleza sobrehumana de la imagen de la Virgen de Guadalupe. Sus obras mas importantes son La Pasión de Cristo (1798-1800) que se encuentra en la Iglesia de Encino en Aguascalientes, el retrato de Mariana Ana Teresa Bonstet en el Museo Nacional del Virreinato de Tepozotlán, y el retrato de Matías de Gálvez en el Museo Nacional de Historia de Chapultepec. Lopez es mencionado en el Dictionnaire des Peintres Sculpteurs Dessinateurs et Graveurs de E. Benezit (Ed Grund,1976), Autógrafos de Pintores Coloniales por Abelardo Carrillo y Gariel (Ed Universidad Autónoma de México 1972) y el Repertorio de Artistas en México de Guillermo Tovar de Teresa (Tomo II, Ed. Grupo Financiero Bancomer 1996). FUENTE: http://www.noyolaanticuarios.com/cat/6343/"
Andrés Sánchez Galque;;Pintor indígena de Quito. Recibió inicialmente su entrenamiento artístico en el Colegio de San Andrés y más adelante fue instruido por el fraile dominicano Pedro Bedón, cuando entró a la Cofradía del Rosario de los dominicos en 1588. En los años después del contrato con Pilamunga Sánchez Galque se convirtió en un artista renombrado […]. Al presente, la pintura Los tres mulatos (1599) de su autoría, es quizás la obra más antigua fechada y firmada que conocemos en Sudamérica. Fuente: Lepage, Andrea. (2007). El arte de la conversión. Modelos educativos del Colegio de San Andrés de Quito. En Procesos: Revista Ecuatoriana de Historia, No. 25. Disponible en http://repositorio.uasb.edu.ec/bitstream/10644/160/1/04.Lepage-E.pdf
Andrew Robertson;;S.D.
Ángel María Camponeschi;;Pintor italiano que residió en Buenos Aires, Argentina durante los primeros años del siglo XIX. Su primera obra firmada en 1803 se titula San Vicente Ferrer, procedente del Monasterio de Santa Catalina de Siena y actualmente en el Museo Isaac Fernández Blanco.
Angelino Medoro;1590 - 1632;Nace en Roma hacia 1567. Pasó a Sevilla en 1586 y se embarcó hacia el Perú, donde llegó en el año de 1600, permaneciendo antes por algunos años en Colombia y Ecuador, realiza en este país diversas obras hasta el año 1618. Falleció en Sevilla, España presumiblemente en 1632. Su obra es dispar en estilo y calidad. En una primera etapa se notan caracteres contramanieristas, alejados del estilo de Bitti, para posteriormente dejarse influenciar por la Escuela sevillana de pintura de fines del XVI, caracterizada por la pervivencia del canon manierista junto con la introducción de fórmulas naturalistas. En su obra se aprecia cierta preocupación por los fondos, abiertos a espacios arquitectónicos, y la preferencia por los colores tierra, a diferencia de los utilizados por Bitti. Fuente: Arte Colonial. Catálogo de Artistas Coloniales. P. 95-96
Angelus Nardi;;(Vaglia de Mugello, 1584-1664). Pintor italiano. Perteneciente a una familia noble desposeída de sus bienes por los Médicis, debió de realizar su primera formación entre los manieristas reformados que trabajaban por esos años en Toscana. En 1600 viajó a Venecia, donde permaneció hasta 1607, año en que se trasladó a España y se instaló en Madrid. En 1615 realizó sus primeras obras para la corte española, en 1625 se le nombró pintor del rey sin sueldo y en 1627 tomó parte en el concurso de la Expulsión de los moriscos, junto a Carducho, Cajés y Velázquez, que ganaría este último. Siempre estuvo muy cercano a Velázquez, a favor del cual llegó a testificar en el proceso incoado para la concesión del hábito de Santiago. Sus trabajos partieron de la tradición toscana, insistiendo en la corrección del dibujo, que supo enriquecer con el colorismo y la luz venecianas.. […]. Fuente: http://www.museodelprado.es/enciclopedia/enciclopedia-on-line/voz/nardi-angelo/
Anna Claypoole Peale;;1791-1878.Anna Claypoole Peale was one of the first two women elected to the prestigious Pennsylvania Academy of the Fine Arts in 1824.Together with her uncle Charles Willson Peale, father James Peale, and numerous siblings and cousins, Anna Claypoole Peale was part of America’s first artistic dynasty. Her sister Sarah Miriam was the other woman elected to the Pennsylvania Academy of the Fine Arts.Peale spent much of her adult life in Philadelphia, but also lived and worked in Washington, D.C., Baltimore, Boston, and New York City. Trained by her father, Peale sold her first two paintings at age fourteen. By age 23, she had focused on portrait miniatures, a lucrative specialization.She produced more than 200 portrait miniatures in her lifetime. Her sitters included two American presidents, an ambassador, several U.S. senators, and notable writers and scientists.She showed her work regularly at the Pennsylvania Academy of the Fine Arts (founded in 1805). In addition to her own prolific career, Peale trained her niece Mary Jane Simes, also a miniaturist.Peale married the Reverend William Staughton in 1829 but was widowed three months later. She remarried in 1841 and enjoyed nearly a quarter of a century with General Williams Duncan before his death in 1864.
Anónimo;;S.D.
Anselmo López;;S.D.
Anson Dickinson;;S.D.
Antonio Anselmo Benítez;;S.D.
Antonio Astudillo;1760;"Oriundo de Quito, fue uno de los pintores que en unión de Francisco Albán y Casimiro Cortés trabajó varios cuadros de la vida de San Pedro Nolasco para los conventos del Tejar y la Merced por los años de 1777 a 1780 y algunos otros en Santo Domingo. No se sabe a ciencia cierta de quien fue discípulo; pero puede presumirse que salió del obrador de alguno de los continuadores de la tradición de Goribar, por ejemplo Vela u Oviedo."
Antonio Bermejo;;Ca. Siglo XVII. Antonio Bermejo o Mermejo fue un pintor peruano y un notable seguidor de los maestros italianos como Angelino Medoro.
Antonio Cárdenas;;S.D.
Antonio de Espinosa;1650-1700;S.D.
Antonio de Montúfar;1614-1629;1627 - 1665. Fue un pintor nacido en Guatemala y formado en España. Su estilo estuvo muy influenciado por el pintor del siglo de oro español Francisco de Zurbarán. A partir de 1654 trabajó en los lienzos de la Pasión de Cristo para la iglesia del Calvario de la Antigua, que, después del terremoto de 1717 quedaron dañados y fueron retocados por el pintor Tomás de Merlo.
Antonio de Santander;;Nacido en la ciudad de Málaga, España, pasó muy joven a la ciudad de Puebla, donde fue aprendiz con su suegro el pintor gaditano Rodrigo de la Piedra. FUENTE: Efraín Castro Morales, en Bernardo Olivares Iriarte, Álbum artístico 1874, Efraín Castro Morales (edición, notas y estudio preliminar), Gobierno del Estado de Puebla-Secretaría de Cultura, 1987, n.23, pp. 129-130.
Antonio de Torres;;(1667-1731). Su obra pictórica es abundante, y es uno de los pintores más populares de la época. Cabe destacar que su madre es hermana del también pintor Antonio Rodríguez, padre de los grandes pintores Juan y Nicolás Rodríguez Juárez. Apenas cumplidos 19 años, Antonio de Torres contrajo matrimonio con Inés de Córdova y Priego el 8 de Septiembre de 1686, de esta unión sólo nace una hija, Inés Josefa, la cual es bautizada el 6 de julio de 1687. Hacia 1724 vuelve a contraer nupcias con María Millán, de quién no tuvo descendencia. Finalmente fallece siete años después en 1731. Las pinturas firmadas por este autor se encuentran diseminadas por todo el país: en San Luis Potosí, en San Miguel de Allende, en Dolores Hidalgo, en Metztitlán, en Guadalajara, en Zacatecas, en Aguascalientes, en Acolman y en la ciudad de México, lo cual nos permite ver que era un pintor muy apreciado. Asimismo sabemos que fue invitado en 1721 a examinar el lienzo de la Guadalupana, lo cual reafirma su fama. FUENTE: Arte Colonial. Catálogo de Artistas Coloniales. p. 185-186.
Antonio Enriquez;;Se desempeñó como pintor en la Nueva España y se le atribuye la pintura Venus y Adonis.
Antonio Ergueta;;S.D.
Antonio Estrada;;S.D.
Antonio Joaquim Franco ;;1780 - 1833. Fue un pintor nacido en Salvador Bahía, Brasil. Se desempeñó como artista y profesor. Durante su vida realizó pinturas religiosas en su mayoría: a principios de 1810 comenzó a realizar pinturas para el techo de la nave de la iglesia Matriz Santana en Bahia, al igual que la fuente del panel. Entre los años 1818 y 1820 llevó a cabo la pintura y el revestimiento de siete paneles que representan la Pasión de Cristo en los altares de la iglesia del Señor de Bonfim. En 1831 se le confió la pintura del techo de la nave y la capilla maor de la Iglesia de la Tercera Orden de San Francisco de la Penitencia, la cual fue terminada por José Rodigues Nunes después de la muerte de Franco.
Antonio José Landaeta;1748-1799;"Maestro de pintor y dorador, nacido posiblemente en los Valles del Tuy y activo en Caracas entre 1748 y 1799. Hijo de Alejandro Landaeta y Juana Estefana García y hermano del también pintor Juan José Landaeta. Asociado al núcleo, grupo de familia o Escuela de los Landaeta, por su apellido y por la similitud en el carácter de las piezas y el estilo pictórico, así como por el uso de una coloración suave dominada por los ocres-rosas. Fallece en Caracas el 17 de mayo de 1799. Fuente: Centro León; Fundación Cisneros. De oficio pintor: arte colonial venezolano. Colección Patricia Phelps de Cisneros. Santiago de los Caballeros: Centro León; Caracas: Fundación Cisneros, 2007."
Antonio Martins da Silveira;;Pintor brasilero del siglo XVIII. Realizó pinturas para las iglesias de Nuestra Señora de la Misericordia y Gracia en 1761, Orden de la Tercera de Nuestra Señora del Carmo en 1765 y para el Seminario Menor y la Capilla de Nuestra Señora de la Buena Muerte en 1782.
Antonio Mermejo;;Ver Antonio Bermejo. 
Antonio Molleno;;Conocido como Molleno, fue un artista que trabajó como santero (pintor de imágenes religiosas) en el norte de México desde 1804 hasta 1845. Su estilo estuvo influenciado por el barroco español y evolucionó hasta volverse más abstracto. Entre sus obras más importantes están las pinturas en el altar principal del Santuario de Chimayo en 1816 y el altar en Ranchos de Taos alrededor de 1815. Las figuras de Molleno se caracterizan por ser largas y carentes de detalles, tanto en el rostro como en las vestimentas.
Antonio Palacios;;Trabajó en Santiago de Chile durante las primeras décadas del siglo XIX. Del mismo modo, se le vincula con la ejecución de pinturas menores para la Serie El Santoral Dominico, en la que se hace mención a los temas de las Postrimerías y las Verdades Eternas en el convento de San Vicente Ferrer.  
Antonio Pérez de Aguilar;;Fue un pintor de Nueva España, alumno de Miguel Cabrera y autor del bodegón de mayor valía en la era colonial española titulado La Alacena, 1769.
Antonio Pinto;;S.D.
Antonio Ramírez Montufar;;S.D.
Antonio Rodrigues Belo ;;Nació en 1702 en Porto, Portugal. Vivió en Cachoeira do Campo durante 1733 y en Casa Blanca alrededor de 1739. Ese mismo año regresó a Cachoeira do Campo y pintó el techo y los paneles laterales de la capilla, los planeles del techo en el coro y el servicio de dorado en la Iglesia de Nuestra Señora de Nazaret, todo entre 1755 y 1756. Murió en Minas Gerais.
Antonio Rodríguez;1660;(1635-1692). Nació en la ciudad de México alrededor de 1635, hijo de Sebastián Rodríguez e Isabel Beltrán. Hacia 1650 ingresó al taller de José Juárez. Se casó con la hija de su maestro, Antonia, el 8 de septiembre de 1659. Tenemos noticias suyas de nuevo hasta el 1 de agosto de 1681 cuando, en representación de los pintores y doradores, acudió antes las autoridades de la ciudad de México, junto con José Rodríguez Carnero, para solicitar la promulgación de nuevas ordenanzas para el gremio, El trámite tuvo éxito, puesto que el 17 de octubre de 1686, fueron aprobadas y mandadas expedir por el virrey Conde de Paredes. Para 1688 funge ya como veedor y examinador de su gremio. Ocupa de nuevo el cargo, junto con Cristóbal de Villalpando, en 1690 y 1692. No se sabe la fecha de su fallecimiento pero debe ser cercana al final de siglo XVII. El arte de Antonio Rodríguez representa la transición entre la pintura de los grandes maestros y el comienzo del siglo XVIII. Fuente: Arte Colonial. Catálogo de Artistas Coloniales. p. 143-144
Antonio Salas;;1780/84 - 1860. Fue un pintor ecuatoriano de la época independentista. Se especializó en obras religiosas, de costumbres y retratos de personajes importantes. Fue llevado preso por matar al hermano de su amante pero su condena fue mitigada por pintar la iglesia y hacer retratos del intendente de Quito. Entre 1804 y 1814 pintó para la iglesia del Quinche junto a otros artistas y en 1823 comenzó a restaurar 17 cuadros grandes, 10 medianos y 12 de pequeño formato para la Capilla de Nuestra Señora del Rosario. En 1838 trabajó para los padres Agustinos la serie de ochos cuadros titulados La vida de la Virgen y en 1849 formó parte del Liceo de Pintura que se fundó en Quito. Salas pintaba con base en pequeños grabados y litografías que llegaban del exterior. Trabajó con pintura al óleo, al temple, con miniaturas y realizó muchos cuadros para mandar al extranjero.
Antonio Sánchez;;1758 - 1826. Fue un artista canario discípulo de Juan de Miranda y Cejas, máximo exponente de la pintura insular de ese siglo.
Antônio Simões Ribeiro ;;Fue un pintor de origen portugués que trabajó en Brasil durante el siglo XVIII. Introdujo la técnica de la pintura ilusionista en el noreste del país, la cual simula la arquitectura tridimensional. Este artista llegó al municipio de Salvador Bahía alrededor del año 1735, donde realizó una serie de obras en iglesias que hoy han desaparecido.
Antonio Sinchi Roca;;Fue un pintor indígena nacido en el pueblo de Maras que se encargó de trabjar la pintura barroca cusqueña y de difundirla en el siglo XVII. Mucha de su gran producción pictórica puede ser encontrada en la Catedral del Cusco: las series de los Profetas, los evangelistas, los Padres de la Iglesia y los Sacramentos.
Antonio Valdez y Ugarde (Oyardo);;Se encuentra que hizo parte de la estructura de la iglesia en Perú y también se le conoce por obras como El huerto de San Antonio Abad
